id,athleteId,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country,hometownInfo.latitude,hometownInfo.longitude,hometownInfo.fipsCode
103853,5159035,HighSchool,2026,1.0,Keisean Henderson,Legacy the School of Sport Sciences,Houston,QB,75.0,185,5.0,0.9993,Spring,TX,USA,30.0798826,-95.4172549,48201
103836,5158979,HighSchool,2026,2.0,Jackson Cantwell,Nixa,Miami,OT,79.5,325,5.0,0.9989,Nixa,MO,USA,37.0439358,-93.3098534,29043
103840,5158949,HighSchool,2026,3.0,Lamar Brown,University Lab,LSU,ATH,76.0,293,5.0,0.9986,Baton Rouge,LA,USA,30.4459596,-91.18738,22033
103839,5158948,HighSchool,2026,4.0,Jared Curtis,Nashville Christian,Vanderbilt,QB,75.5,225,5.0,0.9985,Nashville,TN,USA,36.1622296,-86.7743531,47037
103837,5209297,HighSchool,2026,5.0,Zion Elee,St. Frances Academy,Maryland,EDGE,75.5,220,5.0,0.9981,Baltimore,MD,USA,39.2908816,-76.610759,24510
103890,5159091,HighSchool,2026,6.0,Luke Wafle,Hun School,USC,EDGE,77.5,257,5.0,0.9966,Princeton,NJ,USA,40.3492744,-74.6592958,34021
103867,5209310,HighSchool,2026,7.0,Rodney Dunham,Myers Park,Notre Dame,EDGE,76.0,227,5.0,0.9948,Charlotte,NC,USA,35.2272,-80.843083,37119
103845,5179200,HighSchool,2026,8.0,Brandon Arrington,Mount Miguel,Texas A&M,CB,74.0,186,5.0,0.9948,San Diego,CA,USA,32.7174209,-117.1627714,06073
103907,5209412,HighSchool,2026,9.0,Carter Meadows,Gonzaga,Michigan,EDGE,78.0,225,5.0,0.9945,Washington,DC,USA,38.8949855,-77.0365708,11001
103841,5158973,HighSchool,2026,10.0,Faizon Brandon,Grimsley,Tennessee,QB,75.5,200,5.0,0.9939,Greensboro,NC,USA,36.0726355,-79.7919754,37081
103843,,HighSchool,2026,11.0,Immanuel Iheanacho,Georgetown Preparatory,Oregon,IOL,78.5,345,5.0,0.9936,North Bethesda,MD,USA,39.0461292,-77.1130097,24031
103852,5159046,HighSchool,2026,12.0,Savion Hiter,Louisa County,Michigan,RB,71.5,200,5.0,0.9933,Mineral,VA,USA,38.010695,-77.9086068,51109
103838,5207604,HighSchool,2026,13.0,TK Keys,Hattiesburg,Tennessee,WR,73.5,194,5.0,0.9933,Hattiesburg,MS,USA,31.3271189,-89.2903392,28035
103850,5159009,HighSchool,2026,14.0,Chris Henry Jr.,Mater Dei,Ohio State,WR,77.0,201,5.0,0.9929,Santa Ana,CA,USA,33.7494951,-117.8732213,06059
103868,5264688,HighSchool,2026,15.0,EJ Crowell,Jackson,Alabama,RB,71.0,205,5.0,0.9928,Jackson,AL,USA,31.5090521,-87.8944435,01025
103906,5209313,HighSchool,2026,16.0,Cincere Johnson,Glenville,Ohio State,LB,75.0,222,5.0,0.9912,Cleveland,OH,USA,41.5051613,-81.6934446,39035
103869,5161801,HighSchool,2026,17.0,Richard Anderson,Edna Karr,LSU,DL,76.0,360,5.0,0.9908,New Orleans,LA,USA,29.9499323,-90.0701156,22071
103848,5159112,HighSchool,2026,18.0,Dia Bell,American Heritage,Texas,QB,74.5,215,5.0,0.9903,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011
103884,,HighSchool,2026,19.0,Jalen Lott,Frisco Panther Creek,Oregon,WR,72.0,176,5.0,0.9898,Frisco,TX,USA,33.1506744,-96.8236116,48085
224433,,HighSchool,2026,20.0,John Meredith III,North Crowley,Texas,CB,74.5,187,5.0,0.9897,Fort Worth,TX,USA,32.753177,-97.3327459,48439
103879,5210543,HighSchool,2026,21.0,Ian Premer,Great Bend,Notre Dame,TE,77.0,220,5.0,0.9896,Great Bend,KS,USA,38.3625063,-98.7804087,20009
103966,5245132,HighSchool,2026,22.0,Kelvin Obot,Fruitland,Utah,OT,77.0,265,5.0,0.9896,Fruitland,ID,USA,44.0076639,-116.9165461,16075
103862,5162732,HighSchool,2026,23.0,Xavier Griffin,Gainesville,Alabama,LB,75.0,200,5.0,0.9895,Gainesville,GA,USA,34.2978794,-83.8240663,13139
103910,5210850,HighSchool,2026,24.0,Khary Adams,Loyola Blakefield,Notre Dame,CB,74.0,175,5.0,0.988,Towson,MD,USA,39.4018552,-76.602388,24005
104240,5276976,HighSchool,2026,25.0,Jay Timmons,Pine-Richland,Ohio State,CB,71.0,185,5.0,0.9877,Gibsonia,PA,USA,40.6300671,-79.9695004,42003
103857,5158991,HighSchool,2026,26.0,Kodi Greene,Mater Dei,Washington,OT,77.5,320,5.0,0.9876,Santa Ana,CA,USA,33.7494951,-117.8732213,06059
