,season,playerId,player,position,team,conference,category,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA,week
0,2025,4426688,Kaiden Bennett,QB,Delaware State,MEAC,passing,50,28,1,0.560,1,306,6.1,1
1,2025,4426847,Zach Calzada,QB,Kentucky,SEC,passing,53,25,1,0.472,0,234,4.4,1
2,2025,4427191,Dequan Finn,QB,Miami (OH),Mid-American,passing,40,23,3,0.575,0,334,8.4,1
3,2025,4427313,Ta'Quan Roberson,QB,Buffalo,Mid-American,passing,40,22,1,0.550,2,240,6.0,1
4,2025,4427455,Cade McNamara,QB,East Tennessee State,Southern,passing,35,23,1,0.657,2,231,6.6,1
5,2025,4427966,Maverick McIvor,QB,Western Kentucky,Conference USA,passing,120,80,1,0.667,10,941,7.8,1
6,2025,4428993,Haynes King,QB,Georgia Tech,ACC,passing,20,13,1,0.650,0,143,7.2,1
7,2025,4429079,Luke Doty,WR,South Carolina,SEC,passing,1,0,0,0.000,0,0,0.0,1
8,2025,4429088,Drew Pyne,QB,Bowling Green,Mid-American,passing,54,41,0,0.759,1,383,7.1,1
9,2025,4429149,Brendon Lewis,QB,Memphis,American Athletic,passing,48,38,1,0.792,1,395,8.2,1
10,2025,4429179,Aidan Bouman,QB,South Dakota,MVFC,passing,29,15,2,0.517,1,126,4.3,1
11,2025,4429191,Deuce Hogan,QB,Nicholls,Southland,passing,88,53,2,0.602,3,519,5.9,1
12,2025,4429463,Jacolby Criswell,QB,East Tennessee State,Southern,passing,20,12,0,0.600,0,110,5.5,1
13,2025,4429582,Joe Fagnano,QB,UConn,FBS Independents,passing,68,42,0,0.618,3,519,7.6,1
14,2025,4429801,Tucker Gleason,QB,Toledo,Mid-American,passing,52,30,1,0.577,3,425,8.2,1
15,2025,4430836,Chubba Purdy,QB,Nevada,Mountain West,passing,36,19,3,0.528,0,241,6.7,1
16,2025,4430841,Carson Beck,QB,Miami,ACC,passing,55,42,0,0.764,4,472,8.6,1
17,2025,4431018,Michael Chandler II,QB,Campbell,CAA,passing,6,2,0,0.333,0,6,1.0,1
18,2025,4431046,EJ Core,TE,Delaware State,MEAC,passing,1,1,0,1.000,0,-3,-3.0,1
19,2025,4431091,Ben Finley,QB,Akron,Mid-American,passing,59,23,1,0.390,0,193,3.3,1
20,2025,4431114,Ben Gulbranson,QB,Stanford,ACC,passing,62,32,3,0.516,0,251,4.0,1
21,2025,4431325,Taylen Green,QB,Arkansas,SEC,passing,57,41,2,0.719,10,561,9.8,1
22,2025,4431375,Ken Seals,QB,TCU,Big 12,passing,1,0,0,0.000,0,0,0.0,1
23,2025,4431387,Evan Simon,QB,Temple,American Athletic,passing,35,27,0,0.771,9,422,12.1,1
24,2025,4431416,Kiael Kelly,QB,Ball State,Mid-American,passing,32,20,0,0.625,0,158,4.9,1
25,2025,4431465,Behren Morton,QB,Texas Tech,Big 12,passing,46,34,0,0.739,7,459,10.0,1
26,2025,4431580,Miller Moss,QB,Louisville,ACC,passing,48,30,2,0.625,2,374,7.8,1
27,2025,4431633,Will Crowder,QB,Troy,Sun Belt,passing,55,33,3,0.600,4,367,6.7,1
28,2025,4431948,TJ Finley,QB,Georgia State,Sun Belt,passing,29,21,1,0.724,0,201,6.9,1
29,2025,4432612,Christian Veilleux,QB,Georgia State,Sun Belt,passing,11,4,1,0.364,1,52,4.7,1
30,2025,4432691,Carlos Del Rio-Wilson,QB,Marshall,Sun Belt,passing,3,2,0,0.667,0,10,3.3,1
31,2025,4432722,Athan Kaliakmanis,QB,Rutgers,Big Ten,passing,59,44,0,0.746,6,511,8.7,1
32,2025,4432759,Sawyer Robertson,QB,Baylor,Big 12,passing,98,61,0,0.622,7,859,8.8,1
33,2025,4432767,Preston Stone,QB,Northwestern,Big Ten,passing,65,40,4,0.615,3,406,6.2,1
34,2025,4432803,Kaidon Salter,QB,Colorado,Big 12,passing,44,30,0,0.682,1,261,5.9,1
35,2025,4433824,Hank Gibbs,TE,Northern Colorado,Big Sky,passing,1,1,0,1.000,0,30,30.0,1
36,2025,4433829,Mitch Griffis,QB,Texas Tech,Big 12,passing,5,4,0,0.800,1,40,8.0,1
37,2025,4433932,Mike Wright,QB,East Carolina,American Athletic,passing,5,3,0,0.600,0,13,2.6,1
38,2025,4433969,Timmy McClain,QB,Bethune-Cookman,SWAC,passing,44,31,0,0.705,0,250,5.7,1
39,2025,4565180,Peter Costelli,QB,Northern Colorado,Big Sky,passing,12,6,0,0.500,1,92,7.7,1
40,2025,4565187,Jalen Kitna,QB,UAB,American Athletic,passing,55,40,2,0.727,4,551,10.0,1
41,2025,4565189,Cam Ransom,QB,Bethune-Cookman,SWAC,passing,12,6,1,0.500,0,90,7.5,1
42,2025,4565315,Blake Shapen,QB,Mississippi State,SEC,passing,67,45,1,0.672,4,549,8.2,1
43,2025,4565355,Dexter Williams II,QB,Kennesaw State,Conference USA,passing,35,13,0,0.371,0,148,4.2,1
44,2025,4566381,Casey Case,QB,Stony Brook,CAA,passing,10,4,0,0.400,0,25,2.5,1
45,2025,4567707,Grayson James,QB,Boston College,ACC,passing,5,5,0,1.000,1,190,38.0,1
46,2025,4567747,Garrett Nussmeier,QB,LSU,SEC,passing,79,54,1,0.684,2,469,5.9,1
47,2025,4568336,Zach Gibson,QB,Florida Atlantic,American Athletic,passing,15,7,2,0.467,0,82,5.5,1
48,2025,4568411,Cornelious Brown,QB,Alabama A&M,SWAC,passing,53,34,0,0.642,3,390,7.4,1
49,2025,4569535,Jacob Clark,QB,Missouri State,Conference USA,passing,55,37,3,0.673,4,506,9.2,1
50,2025,4570048,Michael Johnson Jr.,QB,Akron,Mid-American,passing,2,2,0,1.000,0,8,4.0,1
51,2025,4576189,Aveon Smith,QB,Merrimack,FCS Independents,passing,2,1,1,0.500,0,16,8.0,1
52,2025,4577962,Camden Orth,QB,Chattanooga,Southern,passing,64,34,3,0.531,2,363,5.7,1
53,2025,4587721,Daniel Greek,QB,Tarleton State,UAC,passing,2,1,0,0.500,1,12,6.0,1
54,2025,4592531,Ari Patu,QB,North Alabama,UAC,passing,38,16,1,0.421,0,143,3.8,1
55,2025,4592532,Billy Edwards,QB,Wisconsin,Big Ten,passing,13,6,0,0.462,0,68,5.2,1
56,2025,4596472,Jalon Daniels,QB,Kansas,Big 12,passing,75,54,2,0.720,9,679,9.1,1
57,2025,4597247,Austin Smith,QB,Austin Peay,UAC,passing,7,3,0,0.429,0,51,7.3,1
58,2025,4597679,Luke Altmyer,QB,Illinois,Big Ten,passing,52,39,0,0.750,6,513,9.9,1
59,2025,4600403,Braylon Braxton,QB,Southern Miss,Sun Belt,passing,69,46,1,0.667,5,413,6.0,1
60,2025,4602923,Jaylen Henderson,QB,West Virginia,Big 12,passing,4,0,0,0.000,0,0,0.0,1
61,2025,4602968,Nate Hampton,QB,Gardner-Webb,Big South-OVC,passing,39,18,0,0.462,3,308,7.9,1
62,2025,4605998,Logan Fife,QB,New Mexico State,Conference USA,passing,75,41,1,0.547,3,475,6.3,1
63,2025,4607891,Ryan Stubblefield,QB,South Carolina State,MEAC,passing,31,18,0,0.581,2,214,6.9,1
64,2025,4610131,Parker Navarro,QB,Ohio,Mid-American,passing,62,43,3,0.694,4,486,7.8,1
65,2025,4612078,JaCobian Morgan,QB,Jackson State,SWAC,passing,57,29,1,0.509,0,274,4.8,1
66,2025,4618083,Ethan Hampton,QB,Illinois,Big Ten,passing,1,1,0,1.000,0,14,14.0,1
67,2025,4678010,Kyron Drones,QB,Virginia Tech,ACC,passing,64,32,2,0.500,1,355,5.5,1
68,2025,4682518,Nick Vattiato,QB,Middle Tennessee,Conference USA,passing,67,35,1,0.522,3,301,4.5,1
69,2025,4682642,D.C. Tabscott,QB,North Alabama,UAC,passing,1,0,0,0.000,0,0,0.0,1
70,2025,4683012,Eddie Lee Marburger,QB,UT Rio Grande Valley,Southland,passing,50,37,0,0.740,6,628,12.6,1
71,2025,4683058,Brendan Sullivan,QB,Tulane,American Athletic,passing,3,3,0,1.000,0,40,13.3,1
72,2025,4683291,Joey Labas,QB,Central Michigan,Mid-American,passing,24,16,0,0.667,1,145,6.0,1
73,2025,4683311,Sam Vidlak,QB,Stephen F. Austin,Southland,passing,64,37,2,0.578,0,297,4.6,1
74,2025,4683425,Glynn Johnson Jr,WR,New Mexico State,Conference USA,passing,1,1,0,1.000,0,4,4.0,1
75,2025,4683471,Brady Olson,QB,Central Connecticut,NEC,passing,40,23,0,0.575,2,365,9.1,1
76,2025,4684003,Tahj Bullock,QB,Colorado State,Mountain West,passing,1,0,0,0.000,0,0,0.0,1
77,2025,4684502,Justin Lamson,QB,Montana State,Big Sky,passing,59,41,0,0.695,0,321,5.4,1
78,2025,4685252,Henry Belin IV,QB,Duke,ACC,passing,5,2,0,0.400,0,22,4.4,1
79,2025,4685291,Jacurri Brown,QB,UCF,Big 12,passing,3,2,0,0.667,0,15,5.0,1
80,2025,4685309,Braden Davis,QB,Hampton,CAA,passing,16,13,0,0.813,0,92,5.8,1
81,2025,4685311,Jayden Denegal,QB,San Diego State,Mountain West,passing,55,28,0,0.509,2,340,6.2,1
82,2025,4685334,A.J. Duffy,QB,New Haven,NEC,passing,90,49,2,0.544,3,560,6.2,1
83,2025,4685345,JC French,QB,Georgia Southern,Sun Belt,passing,63,36,2,0.571,4,337,5.3,1
84,2025,4685391,Walker Howard,QB,Louisiana,Sun Belt,passing,22,10,1,0.455,0,88,4.0,1
85,2025,4685401,Josh Hoover,QB,TCU,Big 12,passing,36,27,1,0.750,2,284,7.9,1
86,2025,4685413,Cade Klubnik,QB,Clemson,ACC,passing,62,37,2,0.597,2,426,6.9,1
87,2025,4685440,Kyle Lowe,QB,SE Louisiana,Southland,passing,17,10,1,0.588,0,68,4.0,1
88,2025,4685454,Jayden Maiava,QB,USC,Big Ten,passing,42,31,0,0.738,6,707,16.8,1
89,2025,4685459,Nicco Marchiol,QB,West Virginia,Big 12,passing,46,32,1,0.696,1,402,8.7,1
90,2025,4685488,MJ Morris,QB,Coastal Carolina,Sun Belt,passing,58,33,4,0.569,0,265,4.6,1
91,2025,4685495,Alex Orji,QB,UNLV,Mountain West,passing,3,3,0,1.000,0,37,12.3,1
92,2025,4685497,Maalik Murphy,QB,Oregon State,Pac-12,passing,81,52,3,0.642,4,615,7.6,1
93,2025,4685522,Ty Simpson,QB,Alabama,SEC,passing,60,40,0,0.667,5,480,8.0,1
94,2025,4685542,Jayden Sauray,QB,Delaware State,MEAC,passing,5,3,1,0.600,0,23,4.6,1
95,2025,4685574,Conner Weigman,QB,Houston,Big 12,passing,46,30,0,0.652,4,347,7.5,1
96,2025,4685578,Gunner Stockton,QB,Georgia,SEC,passing,58,40,0,0.690,2,417,7.2,1
97,2025,4685691,Brady Allen,QB,Louisville,ACC,passing,9,6,1,0.667,1,69,7.7,1
98,2025,4685694,Steven Angeli,QB,Syracuse,ACC,passing,93,56,2,0.602,3,691,7.4,1
99,2025,4685696,Beau Pribula,QB,Missouri,SEC,passing,67,53,0,0.791,5,617,9.2,1
100,2025,4685697,Zion Turner,QB,Marshall,Sun Belt,passing,31,19,1,0.613,0,183,5.9,1
101,2025,4685698,Destin Wade,QB,North Alabama,UAC,passing,31,13,0,0.419,2,122,3.9,1
102,2025,4685740,Max Johnson,QB,North Carolina,ACC,passing,11,9,0,0.818,1,103,9.4,1
103,2025,4686514,Bryce Bailey,WR,UT Martin,Big South-OVC,passing,1,1,0,1.000,1,39,39.0,1
104,2025,4686848,Andy Peters,QB,St. Thomas (MN),Pioneer,passing,47,32,0,0.681,5,436,9.3,1
105,2025,4688418,Michael Briscoe,WR,Cal Poly,Big Sky,passing,1,0,0,0.000,0,0,0.0,1
106,2025,4688540,Treyson Bourguet,QB,BYU,Big 12,passing,2,1,0,0.500,0,8,4.0,1
107,2025,4689855,Isaiah Alston,WR,James Madison,Sun Belt,passing,1,0,0,0.000,0,0,0.0,1
108,2025,4690158,Noah Kim,QB,Eastern Michigan,Mid-American,passing,63,41,0,0.651,3,437,6.9,1
109,2025,4690811,Savion Red,RB,Sacramento State,Big Sky,passing,1,1,0,1.000,0,28,28.0,1
110,2025,4691272,Stone Earle,QB,Abilene Christian,UAC,passing,53,36,1,0.679,0,379,7.2,1
111,2025,4691966,Maddox Kopp,QB,Houston Christian,Southland,passing,5,4,0,0.800,1,45,9.0,1
112,2025,4692052,Carter Peevy,QB,Maine,CAA,passing,58,26,2,0.448,2,229,3.9,1
113,2025,4692530,Chandler Morris,QB,Virginia,ACC,passing,70,49,1,0.700,3,521,7.4,1
114,2025,4694149,Walker Eget,QB,San José State,Mountain West,passing,85,45,3,0.529,2,496,5.8,1
115,2025,4695113,Otto Kuhns,QB,Norfolk State,MEAC,passing,47,32,0,0.681,2,392,8.3,1
116,2025,4695125,Cooper Willman,WR,Eastern Illinois,Big South-OVC,passing,1,0,0,0.000,0,0,0.0,1
117,2025,4695272,Ryan Leavy,P,East Carolina,American Athletic,passing,1,1,0,1.000,0,17,17.0,1
118,2025,4695400,Mark Gronowski,QB,Iowa,Big Ten,passing,39,21,1,0.538,1,127,3.3,1
119,2025,4695600,Bryson Barnes,QB,Utah State,Mountain West,passing,58,34,0,0.586,3,402,6.9,1
120,2025,4695709,Devin Brown,QB,California,ACC,passing,2,2,0,1.000,1,27,13.5,1
121,2025,4695784,Carson Camp,QB,SE Louisiana,Southland,passing,47,29,2,0.617,1,295,6.3,1
122,2025,4695904,Matthew Sluka,QB,James Madison,Sun Belt,passing,9,6,2,0.667,1,50,5.6,1
123,2025,4696065,Derek Robertson,QB,Monmouth,CAA,passing,88,63,5,0.716,10,833,9.5,1
124,2025,4696880,Walker Harris,QB,North Carolina Central,MEAC,passing,86,48,3,0.558,2,460,5.3,1
125,2025,4697094,DJ Williams,QB,Southern Illinois,MVFC,passing,57,37,0,0.649,4,429,7.5,1
126,2025,4697131,Bronson Barron,QB,Southern Utah,UAC,passing,63,41,0,0.651,6,532,8.4,1
127,2025,4697512,Robby Ashford,QB,Wake Forest,ACC,passing,50,33,1,0.660,1,445,8.9,1
128,2025,4697625,Victor Gabalis,QB,Tarleton State,UAC,passing,81,50,0,0.617,8,599,7.4,1
129,2025,4698250,Grant Harper,QB,UC Davis,Big Sky,passing,8,3,0,0.375,0,39,4.9,1
130,2025,4698302,CJ Jordan,QB,Portland State,Big Sky,passing,14,8,0,0.571,0,58,4.1,1
