,year,team,conference,elo
0,2024,Air Force,Mountain West,1407
1,2024,Akron,Mid-American,1118
2,2024,Alabama,SEC,1986
3,2024,App State,Sun Belt,1393
4,2024,Arizona,Big 12,1307
5,2024,Arizona State,Big 12,1801
6,2024,Arkansas,SEC,1611
7,2024,Arkansas State,Sun Belt,1267
8,2024,Army,American Athletic,1661
9,2024,Auburn,SEC,1611
10,2024,Ball State,Mid-American,1086
11,2024,Baylor,Big 12,1656
12,2024,Boise State,Mountain West,1764
13,2024,Boston College,ACC,1513
14,2024,Bowling Green,Mid-American,1442
15,2024,Buffalo,Mid-American,1374
16,2024,BYU,Big 12,1717
17,2024,California,ACC,1529
18,2024,Central Michigan,Mid-American,1103
19,2024,Charlotte,American Athletic,1131
20,2024,Cincinnati,Big 12,1463
21,2024,Clemson,ACC,1807
22,2024,Coastal Carolina,Sun Belt,1319
23,2024,Colorado,Big 12,1701
24,2024,Colorado State,Mountain West,1324
25,2024,Duke,ACC,1540
26,2024,East Carolina,American Athletic,1403
27,2024,Eastern Michigan,Mid-American,1175
28,2024,Florida,SEC,1767
29,2024,Florida Atlantic,American Athletic,1217
30,2024,Florida International,Conference USA,1308
31,2024,Florida State,ACC,1363
32,2024,Fresno State,Mountain West,1485
33,2024,Georgia,SEC,1998
34,2024,Georgia Southern,Sun Belt,1436
35,2024,Georgia State,Sun Belt,1247
36,2024,Georgia Tech,ACC,1554
37,2024,Hawai'i,Mountain West,1136
38,2024,Houston,Big 12,1313
39,2024,Illinois,Big Ten,1618
40,2024,Indiana,Big Ten,1951
41,2024,Iowa,Big Ten,1774
42,2024,Iowa State,Big 12,1675
43,2024,Jacksonville State,Conference USA,1726
44,2024,James Madison,Sun Belt,1691
45,2024,Kansas,Big 12,1625
46,2024,Kansas State,Big 12,1754
47,2024,Kennesaw State,Conference USA,1150
48,2024,Kent State,Mid-American,760
49,2024,Kentucky,SEC,1498
50,2024,Liberty,Conference USA,1503
51,2024,Louisiana,Sun Belt,1462
52,2024,Louisiana Tech,Conference USA,1346
53,2024,Louisville,ACC,1809
54,2024,LSU,SEC,1827
55,2024,Marshall,Sun Belt,1611
56,2024,Maryland,Big Ten,1407
57,2024,Massachusetts,FBS Independents,1040
58,2024,Memphis,American Athletic,1657
59,2024,Miami,ACC,1855
60,2024,Miami (OH),Mid-American,1543
61,2024,Michigan,Big Ten,1909
62,2024,Michigan State,Big Ten,1303
63,2024,Middle Tennessee,Conference USA,1093
64,2024,Minnesota,Big Ten,1674
65,2024,Mississippi State,SEC,1369
66,2024,Missouri,SEC,1711
67,2024,Navy,American Athletic,1565
68,2024,NC State,ACC,1502
69,2024,Nebraska,Big Ten,1537
70,2024,Nevada,Mountain West,1192
71,2024,New Mexico,Mountain West,1247
72,2024,New Mexico State,Conference USA,1120
73,2024,North Carolina,ACC,1496
74,2024,Northern Illinois,Mid-American,1455
75,2024,North Texas,American Athletic,1367
76,2024,Northwestern,Big Ten,1397
77,2024,Notre Dame,FBS Independents,2154
78,2024,Ohio,Mid-American,1682
79,2024,Ohio State,Big Ten,2211
80,2024,Oklahoma,SEC,1725
81,2024,Oklahoma State,Big 12,1251
82,2024,Old Dominion,Sun Belt,1471
83,2024,Ole Miss,SEC,2007
84,2024,Oregon,Big Ten,2040
85,2024,Oregon State,Pac-12,1359
86,2024,Penn State,Big Ten,2063
87,2024,Pittsburgh,ACC,1456
88,2024,Purdue,Big Ten,1061
89,2024,Rice,American Athletic,1239
90,2024,Rutgers,Big Ten,1533
91,2024,Sam Houston,Conference USA,1428
92,2024,San Diego State,Mountain West,1228
93,2024,San José State,Mountain West,1477
94,2024,SMU,ACC,1826
95,2024,South Alabama,Sun Belt,1583
96,2024,South Carolina,SEC,1810
97,2024,Southern Miss,Sun Belt,929
98,2024,South Florida,American Athletic,1434
99,2024,Stanford,ACC,1175
100,2024,Syracuse,ACC,1499
101,2024,TCU,Big 12,1700
102,2024,Temple,American Athletic,1038
103,2024,Tennessee,SEC,1915
104,2024,Texas,SEC,2042
105,2024,Texas A&M,SEC,1762
106,2024,Texas State,Sun Belt,1640
107,2024,Texas Tech,Big 12,1607
108,2024,Toledo,Mid-American,1431
109,2024,Troy,Sun Belt,1464
110,2024,Tulane,American Athletic,1674
111,2024,Tulsa,American Athletic,812
112,2024,UAB,American Athletic,1229
113,2024,UCF,Big 12,1557
114,2024,UCLA,Big Ten,1488
115,2024,UConn,FBS Independents,1432
116,2024,UL Monroe,Sun Belt,1172
117,2024,UNLV,Mountain West,1679
118,2024,USC,Big Ten,1765
119,2024,Utah,Big 12,1563
120,2024,Utah State,Mountain West,1362
121,2024,UTEP,Conference USA,1111
122,2024,UTSA,American Athletic,1544
123,2024,Vanderbilt,SEC,1496
124,2024,Virginia,ACC,1356
125,2024,Virginia Tech,ACC,1647
126,2024,Wake Forest,ACC,1346
127,2024,Washington,Big Ten,1628
128,2024,Washington State,Pac-12,1531
129,2024,Western Kentucky,Conference USA,1364
130,2024,Western Michigan,Mid-American,1268
131,2024,West Virginia,Big 12,1455
132,2024,Wisconsin,Big Ten,1554
133,2024,Wyoming,Mountain West,1301
