Rk,Player ID,Player,Team,Team_id,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
173,4427936,Grayson McCall,NC State,152,ACC,4,53,80,66.3,518,3,3.8,2,2.5,6.5,6.1,9.8,129.5,128,,grayson-mccall-1
105,4429582,Joe Fagnano,UConn,41,Ind,10,120,206,58.3,1631,20,9.7,4,1.9,7.9,8.99,13.6,163.1,152.9,,joe-fagnano-1
508,4431353,Xavier Restrepo,Miami,2390,ACC,12,0,1,0,0,0,0,0,0,0,0,,0,0,AA,xavier-restrepo-1
276,4431375,Ken Seals,TCU,2628,Big 12,6,10,13,76.9,97,1,7.7,0,0,7.5,9,9.7,16.2,165,,ken-seals-1
372,4431487,Savion Williams,TCU,2628,Big 12,12,3,3,100,22,1,33.3,0,0,7.3,14,7.3,1.8,271.6,,savion-williams-2
139,4433886,Tate Rodemaker,Southern Miss,2572,Sun Belt,9,98,164,59.8,985,7,4.3,7,4.3,6,4.94,10.1,109.4,115.8,,tate-rodemaker-1
322,4570242,Nick Nash,San José State,23,MWC,12,2,2,100,42,2,100,0,0,21,41,21,3.5,606.4,AA,nick-nash-1
93,4571364,Hajj-Malik Williams,UNLV,2439,MWC,13,150,252,59.5,1941,19,7.5,5,2,7.7,8.32,12.9,149.3,145.1,,hajj-malik-williams-1
361,4596336,Chandler Pittman,Southern Miss,2572,Sun Belt,10,1,1,100,25,0,0,0,0,25,25,25,2.5,310,,chandler-pittman-1
431,4678006,Elijah Arroyo,Miami,2390,ACC,13,1,1,100,7,1,100,0,0,7,27,7,0.5,488.8,,elijah-arroyo-1
24,4682518,Nick Vattiato,Middle Tennessee,2393,CUSA,12,269,418,64.4,3092,16,3.8,10,2.4,7.4,7.09,11.5,257.7,134.3,,nicholas-vattiato-1
451,4682927,Billy Wiles,App State,2026,Sun Belt,2,0,1,0,0,0,0,1,100,0,-45,,0,-200,,billy-wiles-1
134,4683182,Nate Yarnell,Pittsburgh,221,ACC,9,98,167,58.7,1056,10,6,5,3,6.3,6.17,10.8,117.3,125.6,,nate-yarnell-1
292,4683451,Cameron Friel,UNLV,2439,MWC,5,5,6,83.3,64,0,0,0,0,10.7,10.67,12.8,12.8,172.9,,cameron-friel-1
385,4683912,Hunter Herring,UL Monroe,2433,Sun Belt,8,1,2,50,19,0,0,0,0,9.5,9.5,19,2.4,129.8,,hunter-herring-1
7,4685401,Josh Hoover,TCU,2628,Big 12,13,313,471,66.5,3949,27,5.7,11,2.3,8.4,8.48,12.6,303.8,151.1,,josh-hoover-1
2,4688380,Cameron Ward,Miami,2390,ACC,13,305,454,67.2,4313,39,8.6,7,1.5,9.5,10.52,14.1,331.8,172.2,H-4AA,cameron-ward-1
67,4694149,Walker Eget,San José State,23,MWC,12,188,328,57.3,2504,13,4,10,3,7.6,7.05,13.3,208.7,128.4,,walker-eget-1
209,4695904,Matthew Sluka,UNLV,2439,MWC,3,21,48,43.8,318,6,12.5,1,2.1,6.6,8.19,15.1,106,136.5,,matthew-sluka-1
458,4696995,Connor Stutz,UConn,41,Ind,13,0,1,0,0,0,0,0,0,0,0,,0,0,,connor-stutz-1
466,4708049,Gavin Bartholomew,Pittsburgh,221,ACC,13,0,1,0,0,0,0,0,0,0,0,,0,0,,gavin-bartholomew-1
301,4708844,Marshall Nichols,UNLV,2439,MWC,14,1,1,100,52,0,0,0,0,52,52,52,3.7,536.8,,marshall-nichols-1
60,4709977,Brayden Schager,Hawai'i,62,MWC,11,233,403,57.8,2591,19,4.7,13,3.2,6.4,5.92,11.1,235.5,120.9,,brayden-schager-1
145,4755664,Nick Evers,UConn,41,Ind,9,97,180,53.9,918,5,2.8,5,2.8,5.1,4.41,9.5,102,100.3,,nick-evers-1
349,4870653,Kevin Concepcion,NC State,152,ACC,12,1,1,100,28,0,0,0,0,28,28,28,2.3,335.2,,kevin-concepcion-2
83,4870819,Eli Holstein,Pittsburgh,221,ACC,10,180,291,61.9,2228,17,5.8,7,2.4,7.7,7.74,12.4,222.8,140.6,,eli-holstein-1
479,4873237,Kaedin Robinson,App State,2026,Sun Belt,9,0,1,0,0,0,0,1,100,0,-45,,0,-200,,kaedin-robinson-1
291,4875128,Lex Thomas,NC State,152,ACC,2,5,8,62.5,65,1,12.5,1,12.5,8.1,5,13,32.5,147,,lex-thomas-1
380,4875866,Reese Poffenbarger,Miami,2390,ACC,4,6,7,85.7,20,0,0,0,0,2.9,2.86,3.3,5,109.7,,reese-poffenbarger-1
439,4880229,Caleb Junko,Pittsburgh,221,ACC,13,1,1,100,3,0,0,0,0,3,3,3,0.2,125.2,,caleb-junko-1
482,4888886,Kenyon Clay,Southern Miss,2572,Sun Belt,12,0,1,0,0,0,0,0,0,0,0,,0,0,,kenyon-clay-1
