player_id,player_name,team,conference,week,comp,att,yds,td,int,qbr,completion_pct
4685578,Gunner Stockton,Georgia,SEC,1,20,32,234,1,0,47.5,0.625
5079516,KJ Jackson,Arkansas,SEC,1,4,4,59,0,0,91.4,1.0
4431325,Taylen Green,Arkansas,SEC,1,16,23,229,2,0,91.5,0.6956521739130435
4870999,Malachi Singleton,Arkansas,SEC,1,8,10,120,0,0,30.8,0.8
4429088,Drew Pyne,Missouri,SEC,1,10,11,82,0,0,66.2,0.9090909090909091
4429435,Brady Cook,Missouri,SEC,1,19,30,218,1,0,53.3,0.6333333333333333
5079465,Michael Hawkins Jr.,Oklahoma,SEC,1,2,4,17,0,0,9.9,0.5
4870607,Jackson Arnold,Oklahoma,SEC,1,17,25,141,4,0,44.3,0.68
5151231,Forrest Brock,Temple,American Athletic,1,12,25,128,0,2,7.0,0.48
5084180,Diego Pavia,Vanderbilt,SEC,1,12,16,190,2,0,82.6,0.75
4428439,Collin Schlee,Virginia Tech,ACC,1,0,1,0,0,0,0.0,0.0
4678010,Kyron Drones,Virginia Tech,ACC,1,22,33,322,2,1,58.1,0.6666666666666666
4430841,Carson Beck,Georgia,SEC,1,23,33,278,2,0,91.7,0.696969696969697
4685413,Cade Klubnik,Clemson,ACC,1,18,29,142,0,1,40.8,0.6206896551724138
4870799,Nico Iamaleava,Tennessee,SEC,1,22,28,314,3,0,81.6,0.7857142857142857
4697122,Gaston Moore,Tennessee,SEC,1,7,12,69,0,1,8.9,0.5833333333333334
5079531,Jake Merklinger,Tennessee,SEC,1,4,4,31,0,0,34.5,1.0
4431353,Xavier Restrepo,Miami,ACC,1,0,1,0,0,0,1.1,0.0
4688380,Cameron Ward,Miami,ACC,1,26,35,385,3,1,95.7,0.7428571428571429
4426335,Graham Mertz,Florida,SEC,1,11,20,91,0,1,19.1,0.55
5079555,D.J. Lagway,Florida,SEC,1,3,6,31,0,1,57.4,0.5
4870906,Arch Manning,Texas,SEC,1,5,6,95,1,0,91.6,0.8333333333333334
4889929,Quinn Ewers,Texas,SEC,1,20,27,260,3,1,71.9,0.7407407407407407
4695867,Grant Wilson,Old Dominion,Sun Belt,1,22,38,197,1,2,49.9,0.5789473684210527
4875127,Lanorris Sellers,South Carolina,SEC,1,10,23,114,0,0,17.7,0.43478260869565216
4870889,Chris Parson,Mississippi State,SEC,1,0,2,0,0,0,1.1,0.0
4565315,Blake Shapen,Mississippi State,SEC,1,15,20,247,3,0,90.4,0.75
4432734,Jalen Milroe,Alabama,SEC,1,7,9,200,3,0,98.7,0.7777777777777778
4685522,Ty Simpson,Alabama,SEC,1,5,9,66,0,0,97.6,0.5555555555555556
4431948,TJ Finley,Western Kentucky,Conference USA,1,18,31,92,0,2,23.1,0.5806451612903226
