id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401752665,52,Florida State,ACC,home,31,9-14,0,20,2-2,1,0,,,0,0,15,1,7,152,5,,0,30:22,0,3,1,5,49,4,230,3,29,7,5-12,2,4-40,382,1,10.9,4.7
401752665,333,Alabama,SEC,away,17,23-43,0,18,2-5,0,1,,,0,,,,5,254,0,,2,29:38,,,,2,29,0,87,1,32,3,6-17,1,8-70,341,0,5.9,3.0
401752666,8,Arkansas,SEC,home,52,26-36,0,29,0-0,0,2,,,0,0,53,2,10,358,5,,7,33:39,0,28,5,10,40,0,194,2,34,6,9-14,1,3-20,552,0,9.9,4.9
401752666,2010,Alabama A&M,SWAC,away,7,15-29,0,12,0-0,2,0,,,0,0,53,3,1,166,2,,0,26:21,0,5,1,3,26,1,69,2,37,5,1-12,1,7-42,235,2,5.7,2.7
401752667,2,Auburn,SEC,away,38,11-17,1,25,1-1,0,0,,,0,1,98,1,8,108,3,,0,33:18,,,,3,52,4,307,4,39,5,5-10,1,9-83,415,0,6.4,5.9
401752667,239,Baylor,Big 12,home,24,27-48,0,23,3-6,0,,,,0,0,53,2,6,419,3,,3,26:42,,,,1,24,0,64,1,41,1,5-15,,6-55,483,0,8.7,2.7
401752668,57,Florida,SEC,home,55,27-36,1,28,0-0,0,2,,,0,0,25,1,13,251,2,,5,34:27,0,45,3,2,38,1,200,0,25,7,7-13,2,0-0,451,0,7.0,5.3
401752668,2341,Long Island University,NEC,away,0,4-11,0,2,0-1,2,0,,,0,,,,,49,1,,0,25:33,,,,1,32,0,37,1,43,9,1-12,2,12-100,86,2,4.5,1.2
401752669,61,Georgia,SEC,home,45,19-32,0,27,3-3,0,,,,0,,,,9,249,1,,3,34:29,0,26,4,0,44,3,239,0,40,5.5,6-16,,2-15,488,0,7.8,5.4
401752669,276,Marshall,Sun Belt,away,7,11-21,0,7,0-0,0,,,,0,0,52,3,1,129,5,,0,25:31,0,14,2,0,31,1,78,0,56,3,3-15,,6-42,207,0,6.1,2.5
401752670,96,Kentucky,SEC,home,24,10-23,0,17,0-0,1,0,0,0,1,0,43,2,6,85,0,1,0,31:41,0,-3,2,5,43,3,220,3,35,6,8-15,2,3-30,305,2,3.7,5.1
401752670,2649,Toledo,Mid-American,away,16,23-40,0,17,1-4,0,1,0,0,1,0,45,2,2,270,3,1,1,28:19,0,2,2,4,29,1,59,0,35,4,7-17,2,11-93,329,1,6.8,2.0
