,id,season,seasonType,week,startDate,homeTeamId,homeTeam,homeConference,homeClassification,homeScore,awayTeamId,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
0,401752852,2025,regular,5,2025-09-27T19:30:00.000Z,264,Washington,Big Ten,fbs,,194,Ohio State,Big Ten,fbs,,DraftKings,8.5,Ohio State -8.5,13.5,52.5,,260.0,-325.0,
1,401752852,2025,regular,5,2025-09-27T19:30:00.000Z,264,Washington,Big Ten,fbs,,194,Ohio State,Big Ten,fbs,,ESPN Bet,7.5,Ohio State -7.5,11.5,51.5,48.5,260.0,-320.0,
2,401752852,2025,regular,5,2025-09-27T19:30:00.000Z,264,Washington,Big Ten,fbs,,194,Ohio State,Big Ten,fbs,,Bovada,7.5,Ohio State -7.5,9.5,51.5,52.5,260.0,-320.0,
3,401752719,2025,regular,5,2025-09-27T19:30:00.000Z,145,Ole Miss,SEC,fbs,,99,LSU,SEC,fbs,,DraftKings,-1.5,Ole Miss -1.5,2.5,55.5,,-120.0,100.0,
4,401752719,2025,regular,5,2025-09-27T19:30:00.000Z,145,Ole Miss,SEC,fbs,,99,LSU,SEC,fbs,,ESPN Bet,-1.5,Ole Miss -1.5,2.0,55.5,56.5,-120.0,105.0,
5,401752719,2025,regular,5,2025-09-27T19:30:00.000Z,145,Ole Miss,SEC,fbs,,99,LSU,SEC,fbs,,Bovada,-1.5,Ole Miss -1.5,-1.5,55.0,55.5,-125.0,105.0,
6,401752846,2025,regular,4,2025-09-20T19:30:00.000Z,158,Nebraska,Big Ten,fbs,27.0,130,Michigan,Big Ten,fbs,30.0,DraftKings,1.5,Michigan -1.5,3.5,47.5,,-102.0,-118.0,
7,401752846,2025,regular,4,2025-09-20T19:30:00.000Z,158,Nebraska,Big Ten,fbs,27.0,130,Michigan,Big Ten,fbs,30.0,ESPN Bet,1.5,Michigan -1.5,3.0,48.5,44.5,-105.0,-115.0,
8,401752846,2025,regular,4,2025-09-20T19:30:00.000Z,158,Nebraska,Big Ten,fbs,27.0,130,Michigan,Big Ten,fbs,30.0,Bovada,-1.0,Nebraska -1.0,1.5,47.5,44.5,105.0,-125.0,
9,401752842,2025,regular,4,2025-09-20T23:30:00.000Z,265,Washington State,Pac-12,fbs,24.0,264,Washington,Big Ten,fbs,59.0,DraftKings,21.0,Washington -21,12.5,51.5,,900.0,-1600.0,
10,401752842,2025,regular,4,2025-09-20T23:30:00.000Z,265,Washington State,Pac-12,fbs,24.0,264,Washington,Big Ten,fbs,59.0,Bovada,21.0,Washington -21.0,20.5,52.0,53.5,750.0,-1400.0,
11,401752842,2025,regular,4,2025-09-20T23:30:00.000Z,265,Washington State,Pac-12,fbs,24.0,264,Washington,Big Ten,fbs,59.0,ESPN Bet,20.5,Washington -20.5,20.5,52.5,53.5,900.0,-1800.0,
12,401752717,2025,regular,5,2025-09-27T16:00:00.000Z,8,Arkansas,SEC,fbs,,87,Notre Dame,FBS Independents,fbs,,DraftKings,4.5,Notre Dame -4.5,10.5,64.5,,164.0,-198.0,
13,401752717,2025,regular,5,2025-09-27T16:00:00.000Z,8,Arkansas,SEC,fbs,,87,Notre Dame,FBS Independents,fbs,,ESPN Bet,4.5,Notre Dame -4.5,6.5,64.5,58.5,160.0,-190.0,
14,401752717,2025,regular,5,2025-09-27T16:00:00.000Z,8,Arkansas,SEC,fbs,,87,Notre Dame,FBS Independents,fbs,,Bovada,4.5,Notre Dame -4.5,6.0,64.5,64.5,185.0,-225.0,
15,401756847,2025,regular,1,2025-08-23T22:30:00.000Z,2305,Kansas,Big 12,fbs,31.0,278,Fresno State,Mountain West,fbs,7.0,DraftKings,-14.0,Kansas -14,-14.0,51.5,51.5,-550.0,410.0,
16,401756847,2025,regular,1,2025-08-23T22:30:00.000Z,2305,Kansas,Big 12,fbs,31.0,278,Fresno State,Mountain West,fbs,7.0,ESPN Bet,-14.5,Kansas -14.5,-13.5,50.5,51.5,-650.0,425.0,
17,401756847,2025,regular,1,2025-08-23T22:30:00.000Z,2305,Kansas,Big 12,fbs,31.0,278,Fresno State,Mountain West,fbs,7.0,Bovada,-14.0,Kansas -14.0,-14.5,50.0,51.5,-575.0,400.0,
18,401757218,2025,regular,1,2025-08-23T23:00:00.000Z,98,Western Kentucky,Conference USA,fbs,41.0,2534,Sam Houston,Conference USA,fbs,24.0,DraftKings,-9.5,Western Kentucky -9.5,-9.5,60.5,60.5,-360.0,285.0,
19,401757218,2025,regular,1,2025-08-23T23:00:00.000Z,98,Western Kentucky,Conference USA,fbs,41.0,2534,Sam Houston,Conference USA,fbs,24.0,ESPN Bet,-10.5,Western Kentucky -10.5,-9.5,60.5,61.5,-400.0,300.0,
20,401757218,2025,regular,1,2025-08-23T23:00:00.000Z,98,Western Kentucky,Conference USA,fbs,41.0,2534,Sam Houston,Conference USA,fbs,24.0,Bovada,-9.5,Western Kentucky -9.5,-7.0,60.0,61.5,-390.0,295.0,
21,401754516,2025,regular,1,2025-08-23T23:30:00.000Z,62,Hawai'i,Mountain West,fbs,23.0,24,Stanford,ACC,fbs,20.0,DraftKings,-1.5,Hawai'i -1.5,-1.5,53.5,53.5,-118.0,-102.0,
22,401754516,2025,regular,1,2025-08-23T23:30:00.000Z,62,Hawai'i,Mountain West,fbs,23.0,24,Stanford,ACC,fbs,20.0,ESPN Bet,-1.5,Hawai'i -1.5,-1.5,50.5,53.5,-120.0,110.0,
23,401754516,2025,regular,1,2025-08-23T23:30:00.000Z,62,Hawai'i,Mountain West,fbs,23.0,24,Stanford,ACC,fbs,20.0,Bovada,-2.0,Hawai'i -2.0,2.5,50.0,55.5,115.0,-135.0,
24,401762522,2025,regular,1,2025-08-28T21:30:00.000Z,58,South Florida,American Athletic,fbs,34.0,68,Boise State,Mountain West,fbs,7.0,DraftKings,8.5,Boise State -8.5,8.5,63.5,63.5,250.0,-310.0,
25,401762522,2025,regular,1,2025-08-28T21:30:00.000Z,58,South Florida,American Athletic,fbs,34.0,68,Boise State,Mountain West,fbs,7.0,ESPN Bet,5.5,Boise State -5.5,8.5,60.5,63.5,175.0,-210.0,
26,401762522,2025,regular,1,2025-08-28T21:30:00.000Z,58,South Florida,American Athletic,fbs,34.0,68,Boise State,Mountain West,fbs,7.0,Bovada,4.5,Boise State -4.5,9.5,62.0,63.5,240.0,-290.0,
27,401752794,2025,regular,1,2025-08-28T22:00:00.000Z,164,Rutgers,Big Ten,fbs,34.0,195,Ohio,Mid-American,fbs,31.0,DraftKings,-11.5,Rutgers -11.5,-11.5,46.5,46.5,-455.0,350.0,
28,401752794,2025,regular,1,2025-08-28T22:00:00.000Z,164,Rutgers,Big Ten,fbs,34.0,195,Ohio,Mid-American,fbs,31.0,ESPN Bet,-15.5,Rutgers -15.5,-11.5,53.5,46.5,-750.0,475.0,
29,401752794,2025,regular,1,2025-08-28T22:00:00.000Z,164,Rutgers,Big Ten,fbs,34.0,195,Ohio,Mid-American,fbs,31.0,Bovada,-15.5,Rutgers -15.5,-10.5,52.0,47.5,-510.0,370.0,
30,401756848,2025,regular,1,2025-08-28T23:00:00.000Z,2116,UCF,Big 12,fbs,17.0,55,Jacksonville State,Conference USA,fbs,10.0,DraftKings,-16.5,UCF -16.5,-16.5,53.5,53.5,-750.0,525.0,
31,401756848,2025,regular,1,2025-08-28T23:00:00.000Z,2116,UCF,Big 12,fbs,17.0,55,Jacksonville State,Conference USA,fbs,10.0,ESPN Bet,-20.5,UCF -20.5,-16.5,52.5,53.5,-1800.0,900.0,
32,401756848,2025,regular,1,2025-08-28T23:00:00.000Z,2116,UCF,Big 12,fbs,17.0,55,Jacksonville State,Conference USA,fbs,10.0,Bovada,-20.5,UCF -20.5,-16.5,52.5,56.5,-800.0,525.0,
33,401754373,2025,regular,1,2025-08-28T23:00:00.000Z,152,NC State,ACC,fbs,24.0,151,East Carolina,American Athletic,fbs,17.0,DraftKings,-12.5,NC State -12.5,-12.5,58.5,58.5,-440.0,340.0,
34,401754373,2025,regular,1,2025-08-28T23:00:00.000Z,152,NC State,ACC,fbs,24.0,151,East Carolina,American Athletic,fbs,17.0,ESPN Bet,-13.5,NC State -13.5,-12.5,61.5,58.5,-650.0,425.0,
35,401754373,2025,regular,1,2025-08-28T23:00:00.000Z,152,NC State,ACC,fbs,24.0,151,East Carolina,American Athletic,fbs,17.0,Bovada,-14.0,NC State -14.0,-14.0,61.0,56.5,-435.0,325.0,
36,401762789,2025,regular,1,2025-08-28T23:00:00.000Z,2006,Akron,Mid-American,fbs,0.0,2751,Wyoming,Mountain West,fbs,10.0,DraftKings,8.5,Wyoming -8.5,8.5,49.5,49.5,260.0,-325.0,
37,401762789,2025,regular,1,2025-08-28T23:00:00.000Z,2006,Akron,Mid-American,fbs,0.0,2751,Wyoming,Mountain West,fbs,10.0,ESPN Bet,4.5,Wyoming -4.5,7.5,47.5,49.5,170.0,-200.0,
38,401762789,2025,regular,1,2025-08-28T23:00:00.000Z,2006,Akron,Mid-American,fbs,0.0,2751,Wyoming,Mountain West,fbs,10.0,Bovada,5.0,Wyoming -5.0,9.5,48.0,49.5,250.0,-300.0,
39,401752793,2025,regular,1,2025-08-29T00:00:00.000Z,135,Minnesota,Big Ten,fbs,23.0,2084,Buffalo,Mid-American,fbs,10.0,DraftKings,-16.5,Minnesota -16.5,-16.5,45.5,45.5,-900.0,600.0,
40,401752793,2025,regular,1,2025-08-29T00:00:00.000Z,135,Minnesota,Big Ten,fbs,23.0,2084,Buffalo,Mid-American,fbs,10.0,ESPN Bet,-16.5,Minnesota -16.5,-17.0,41.5,45.5,-900.0,550.0,
41,401752793,2025,regular,1,2025-08-29T00:00:00.000Z,135,Minnesota,Big Ten,fbs,23.0,2084,Buffalo,Mid-American,fbs,10.0,Bovada,-18.5,Minnesota -18.5,-18.5,43.0,45.5,-900.0,575.0,
42,401762791,2025,regular,1,2025-08-29T01:00:00.000Z,275,Wisconsin,Big Ten,fbs,17.0,193,Miami (OH),Mid-American,fbs,0.0,DraftKings,-17.5,Wisconsin -17.5,-17.5,40.5,40.5,-1100.0,700.0,
43,401762791,2025,regular,1,2025-08-29T01:00:00.000Z,275,Wisconsin,Big Ten,fbs,17.0,193,Miami (OH),Mid-American,fbs,0.0,ESPN Bet,-18.5,Wisconsin -18.5,-17.5,41.5,40.5,-1400.0,750.0,
44,401762791,2025,regular,1,2025-08-29T01:00:00.000Z,275,Wisconsin,Big Ten,fbs,17.0,193,Miami (OH),Mid-American,fbs,0.0,Bovada,-18.0,Wisconsin -18.0,-17.5,41.0,41.5,-1200.0,700.0,
45,401752796,2025,regular,1,2025-08-29T01:00:00.000Z,2132,Cincinnati,Big 12,fbs,17.0,158,Nebraska,Big Ten,fbs,20.0,DraftKings,6.5,Nebraska -6.5,6.5,52.5,52.5,220.0,-270.0,
46,401752796,2025,regular,1,2025-08-29T01:00:00.000Z,2132,Cincinnati,Big 12,fbs,17.0,158,Nebraska,Big Ten,fbs,20.0,ESPN Bet,5.5,Nebraska -5.5,7.0,50.5,52.5,195.0,-230.0,
47,401752796,2025,regular,1,2025-08-29T01:00:00.000Z,2132,Cincinnati,Big 12,fbs,17.0,158,Nebraska,Big Ten,fbs,20.0,Bovada,6.0,Nebraska -6.0,6.5,50.5,50.5,210.0,-250.0,
48,401752802,2025,regular,1,2025-08-29T23:00:00.000Z,127,Michigan State,Big Ten,fbs,23.0,2711,Western Michigan,Mid-American,fbs,6.0,DraftKings,-18.5,Michigan State -18.5,-18.5,49.5,49.5,-950.0,625.0,
49,401752802,2025,regular,1,2025-08-29T23:00:00.000Z,127,Michigan State,Big Ten,fbs,23.0,2711,Western Michigan,Mid-American,fbs,6.0,ESPN Bet,-22.5,Michigan State -22.5,-18.5,50.5,49.5,-2000.0,1000.0,
50,401752802,2025,regular,1,2025-08-29T23:00:00.000Z,127,Michigan State,Big Ten,fbs,23.0,2711,Western Michigan,Mid-American,fbs,6.0,Bovada,-21.5,Michigan State -21.5,-17.5,50.0,49.5,-1600.0,800.0,
51,401754374,2025,regular,1,2025-08-29T23:00:00.000Z,154,Wake Forest,ACC,fbs,10.0,338,Kennesaw State,Conference USA,fbs,9.0,DraftKings,-17.5,Wake Forest -17.5,-17.5,51.5,51.5,-1000.0,650.0,
52,401754374,2025,regular,1,2025-08-29T23:00:00.000Z,154,Wake Forest,ACC,fbs,10.0,338,Kennesaw State,Conference USA,fbs,9.0,ESPN Bet,-18.5,Wake Forest -18.5,-18.0,51.5,51.5,-1200.0,700.0,
53,401754374,2025,regular,1,2025-08-29T23:00:00.000Z,154,Wake Forest,ACC,fbs,10.0,338,Kennesaw State,Conference USA,fbs,9.0,Bovada,-18.5,Wake Forest -18.5,-17.5,51.0,53.5,-1200.0,700.0,
54,401761589,2025,regular,1,2025-08-29T23:00:00.000Z,2429,Charlotte,American Athletic,fbs,11.0,2026,App State,Sun Belt,fbs,34.0,DraftKings,8.5,App State -8.5,8.5,53.5,53.5,260.0,-325.0,
55,401761589,2025,regular,1,2025-08-29T23:00:00.000Z,2429,Charlotte,American Athletic,fbs,11.0,2026,App State,Sun Belt,fbs,34.0,ESPN Bet,19.5,App State -19.5,8.0,,53.5,135.0,-155.0,
56,401761589,2025,regular,1,2025-08-29T23:00:00.000Z,2429,Charlotte,American Athletic,fbs,11.0,2026,App State,Sun Belt,fbs,34.0,Bovada,3.0,App State -3.0,8.5,49.0,53.5,250.0,-300.0,
57,401754375,2025,regular,1,2025-08-30T00:00:00.000Z,38,Colorado,Big 12,fbs,20.0,59,Georgia Tech,ACC,fbs,27.0,DraftKings,4.0,Georgia Tech -4,4.0,55.5,55.5,160.0,-192.0,
58,401754375,2025,regular,1,2025-08-30T00:00:00.000Z,38,Colorado,Big 12,fbs,20.0,59,Georgia Tech,ACC,fbs,27.0,ESPN Bet,3.5,Georgia Tech -3.5,4.0,50.5,55.5,145.0,-170.0,
59,401754375,2025,regular,1,2025-08-30T00:00:00.000Z,38,Colorado,Big 12,fbs,20.0,59,Georgia Tech,ACC,fbs,27.0,Bovada,3.5,Georgia Tech -3.5,3.5,50.0,57.5,150.0,-175.0,
60,401752667,2025,regular,1,2025-08-30T00:00:00.000Z,239,Baylor,Big 12,fbs,24.0,2,Auburn,SEC,fbs,38.0,DraftKings,1.5,Auburn -1.5,1.5,57.5,57.5,-105.0,-115.0,
61,401752667,2025,regular,1,2025-08-30T00:00:00.000Z,239,Baylor,Big 12,fbs,24.0,2,Auburn,SEC,fbs,38.0,ESPN Bet,-1.5,Baylor -1.5,1.0,56.5,57.5,-105.0,-115.0,
62,401752667,2025,regular,1,2025-08-30T00:00:00.000Z,239,Baylor,Big 12,fbs,24.0,2,Auburn,SEC,fbs,38.0,Bovada,1.0,Auburn -1.0,1.5,56.5,56.5,-110.0,-110.0,
63,401757224,2025,regular,1,2025-08-30T01:30:00.000Z,2534,Sam Houston,Conference USA,fbs,21.0,2439,UNLV,Mountain West,fbs,38.0,DraftKings,13.5,UNLV -13.5,13.5,58.5,58.5,380.0,-500.0,
64,401757224,2025,regular,1,2025-08-30T01:30:00.000Z,2534,Sam Houston,Conference USA,fbs,21.0,2439,UNLV,Mountain West,fbs,38.0,ESPN Bet,8.5,UNLV -8.5,13.0,60.5,58.5,250.0,-300.0,
65,401757224,2025,regular,1,2025-08-30T01:30:00.000Z,2534,Sam Houston,Conference USA,fbs,21.0,2439,UNLV,Mountain West,fbs,38.0,Bovada,9.0,UNLV -9.0,13.5,60.5,58.5,370.0,-510.0,
66,401760358,2025,regular,1,2025-08-30T02:30:00.000Z,23,San José State,Mountain West,fbs,14.0,2117,Central Michigan,Mid-American,fbs,16.0,DraftKings,-11.5,San José State -11.5,-11.5,50.5,50.5,-425.0,330.0,
67,401760358,2025,regular,1,2025-08-30T02:30:00.000Z,23,San José State,Mountain West,fbs,14.0,2117,Central Michigan,Mid-American,fbs,16.0,ESPN Bet,-14.5,San José State -14.5,-11.5,51.5,50.5,-650.0,425.0,
68,401760358,2025,regular,1,2025-08-30T02:30:00.000Z,23,San José State,Mountain West,fbs,14.0,2117,Central Michigan,Mid-American,fbs,16.0,Bovada,-14.5,San José State -14.5,-10.5,51.5,51.0,-460.0,340.0,
