,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
0,2024,102597,Will Rogers,QB,Washington,B1G,0.464,0.823,0.046,0.411,0.471,0.6,0.404,0.634
1,2024,107494,Trey Sanders,RB,TCU,B12,0.037,0.0,0.08,0.043,0.036,0.016,0.041,0.029
2,2024,146583,John Adams,WR,Temple,AAC,0.03,0.048,0.011,0.019,0.044,0.035,0.03,0.031
3,2024,548696,Malik Jackson,TE,Towson,,0.014,0.026,0.0,0.016,0.021,0.0,0.01,0.024
4,2024,550577,Jordan Brown,WR,Fresno State,MWC,0.028,0.055,0.0,0.028,0.039,0.016,0.027,0.032
5,2024,553074,Aaron Young,RB,Old Dominion,SBC,0.227,0.019,0.414,0.285,0.233,0.109,0.278,0.122
6,2024,560147,Kevin Johnson,WR,Hampton,,0.045,0.114,0.0,0.048,0.03,0.074,0.048,0.037
7,2024,3116099,Monte Harrison,WR,Arkansas,SEC,0.029,0.054,0.0,0.05,0.0,0.0,0.034,0.0
8,2024,3949586,Jake Taylor,TE,Duke,ACC,0.035,0.06,0.0,0.037,0.02,0.041,0.029,0.046
9,2024,4038961,Cam McCormick,TE,Miami,ACC,0.017,0.03,0.0,0.0,0.053,0.0,0.012,0.032
10,2024,4242373,Bentley Hanshaw,TE,Liberty,CUSA,0.019,0.049,0.0,0.024,0.006,0.03,0.02,0.015
11,2024,4251136,Spencer Curtis,WR,Hawai'i,MWC,0.031,0.048,0.0,0.033,0.023,0.041,0.028,0.036
12,2024,4360435,Jacolby Hewitt,WR,Alabama A&M,,0.036,0.077,0.004,0.034,0.05,0.022,0.03,0.05
13,2024,4360480,Spencer Petras,QB,Utah State,MWC,0.498,0.86,0.077,0.399,0.586,0.595,0.432,0.671
14,2024,4360689,Tyler Shough,QB,Louisville,ACC,0.541,0.968,0.075,0.456,0.544,0.743,0.45,0.76
15,2024,4360890,Jordan McCloud,QB,Texas State,SBC,0.468,0.883,0.117,0.469,0.392,0.615,0.423,0.576
16,2024,4360930,Jyaire Shorter,WR,Memphis,AAC,0.022,0.037,0.0,0.015,0.02,0.044,0.019,0.03
17,2024,4361014,Brant Kuithe,TE,Utah,B12,0.083,0.14,0.027,0.09,0.075,0.085,0.09,0.07
18,2024,4361025,Jack Tuttle,QB,Michigan,B1G,0.485,0.885,0.143,0.528,0.417,0.538,0.419,0.641
19,2024,4361059,Da'kendall James,WR,Towson,,0.032,0.054,0.008,0.009,0.072,0.019,0.028,0.042
20,2024,4362075,Cameron Rising,QB,Utah,B12,0.381,0.767,0.048,0.43,0.258,0.476,0.375,0.392
21,2024,4362159,Alan Bowman,QB,Oklahoma State,B12,0.475,0.798,0.051,0.423,0.485,0.56,0.396,0.636
22,2024,4362188,Sterling Galban,WR,Massachusetts,Ind,0.035,0.075,0.002,0.033,0.046,0.025,0.025,0.054
23,2024,4362248,Anthony Torres,TE,Toledo,MAC,0.044,0.083,0.0,0.029,0.04,0.061,0.037,0.059
24,2024,4362263,Jalynn Williams,RB,Western Carolina,,0.06,0.009,0.128,0.051,0.073,0.06,0.06,0.06
25,2024,4362313,O'Shann Allison,RB,Austin Peay,,0.083,0.037,0.13,0.109,0.064,0.069,0.1,0.05
26,2024,4362332,Alec Burton,TE,Utah Tech,,0.016,0.027,0.0,0.013,0.016,0.0,0.027,0.0
27,2024,4362909,Cameron Gardner,WR,Mississippi Valley State,,0.041,0.078,0.005,0.023,0.045,0.074,0.036,0.049
28,2024,4362915,Gerry Bohannon,QB,BYU,B12,0.053,0.043,0.061,0.052,0.062,0.025,0.07,0.015
29,2024,4363059,Jay Gibson,TE,Chattanooga,,0.028,0.064,0.0,0.015,0.026,0.058,0.029,0.026
30,2024,4364635,Cole Grossman,TE,Montana,,0.05,0.115,0.0,0.055,0.025,0.045,0.048,0.053
31,2024,4365454,Takairee Kenebrew,WR,North Alabama,,0.069,0.137,0.004,0.079,0.06,0.069,0.068,0.07
32,2024,4365710,Jaren Mitchell,WR,Incarnate Word,,0.021,0.032,0.0,0.019,0.041,0.0,0.028,0.0
33,2024,4366640,Solomon Vanhorse,RB,Indiana,B1G,0.015,0.048,0.0,0.027,0.0,0.0,0.017,0.0
34,2024,4367042,John Erby,WR,Duquesne,,0.09,0.18,0.009,0.091,0.059,0.13,0.091,0.09
35,2024,4367069,Ty Son Lawton,RB,Indiana,B1G,0.182,0.04,0.298,0.23,0.19,0.062,0.207,0.115
36,2024,4368612,Jay Parker,WR,Tennessee Tech,,0.033,0.051,0.013,0.034,0.031,0.028,0.035,0.029
37,2024,4368909,Jeremiah Edwards,WR,UT Martin,,0.015,0.04,0.0,0.0,0.024,0.04,0.0,0.061
38,2024,4369910,Chance Newman,QB,Northwestern State,,0.046,0.031,0.063,0.019,0.086,0.031,0.036,0.059
39,2024,4370170,Landon Parker,WR,Troy,SBC,0.047,0.093,0.0,0.039,0.053,0.059,0.037,0.069
40,2024,4370170,Landon Parker,WR,Troy,,0.047,0.093,0.0,0.039,0.053,0.059,0.037,0.069
41,2024,4370981,Keilon Elder,RB,Grambling,,0.169,0.033,0.288,0.245,0.167,0.053,0.253,0.038
42,2024,4371078,Romelo Williams,QB,Virginia St,,0.436,0.762,0.242,0.292,0.389,0.769,0.351,0.611
43,2024,4373895,Ben Wooldridge,QB,Louisiana,SBC,0.501,0.89,0.139,0.416,0.538,0.615,0.461,0.61
44,2024,4376241,D'Angelo Durham,RB,McNeese,,0.102,0.027,0.165,0.141,0.075,0.059,0.124,0.058
45,2024,4379400,Matthew Downing,QB,Elon,,0.431,0.781,0.108,0.373,0.409,0.608,0.379,0.533
