,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
0,2024,1,postseason,4431210,Beaux Collins,WR,Notre Dame,Georgia,0.862,0.862,
1,2024,1,postseason,4567545,Jayden Harrison,WR,Notre Dame,Georgia,-0.338,-0.338,
2,2024,1,postseason,4683243,Mitchell Evans,TE,Notre Dame,Georgia,0.699,0.699,
3,2024,1,regular,4428527,Dalvin Smith,WR,Western Kentucky,Alabama,-0.389,-0.389,
4,2024,1,regular,4431948,TJ Finley,QB,Western Kentucky,Alabama,-0.168,-0.152,-0.255
5,2024,1,regular,4432734,Jalen Milroe,QB,Alabama,Western Kentucky,1.35,2.121,0.655
6,2024,1,regular,4433945,Elijah Young,RB,Western Kentucky,Alabama,-0.198,0.348,-0.471
7,2024,1,regular,4596545,C.J. Dippre,TE,Alabama,Western Kentucky,0.776,0.776,
8,2024,1,regular,4685261,Germie Bernard,WR,Alabama,Western Kentucky,2.586,2.586,
9,2024,1,regular,4685381,Emmanuel Henderson Jr.,WR,Alabama,Western Kentucky,0.172,0.172,
10,2024,1,regular,4685441,Kendrick Law,WR,Alabama,Western Kentucky,1.178,1.561,0.413
11,2024,1,regular,4685477,Jamarion Miller,RB,Alabama,Western Kentucky,0.181,-1.162,0.449
12,2024,1,regular,4685522,Ty Simpson,QB,Alabama,Western Kentucky,0.696,0.403,2.015
13,2024,1,regular,4686145,Bryce Childress,WR,Western Kentucky,Alabama,-0.302,-0.302,
14,2024,1,regular,4693881,Kisean Johnson,WR,Western Kentucky,Alabama,-0.141,-0.141,
15,2024,1,regular,4698179,River Helms,TE,Western Kentucky,Alabama,0.279,0.279,
16,2024,1,regular,4705859,K.D. Hutchinson,WR,Western Kentucky,Alabama,0.863,0.863,
17,2024,1,regular,4869965,Kobe Prentice,WR,Alabama,Western Kentucky,0.542,0.542,
18,2024,1,regular,4869991,Caden Veltkamp,QB,Western Kentucky,Alabama,-0.237,-0.198,-0.354
19,2024,1,regular,4870760,Justice Haynes,RB,Alabama,Western Kentucky,1.635,,1.635
20,2024,1,regular,4870900,Dylan Lonergan,QB,Alabama,Western Kentucky,2.377,,2.377
21,2024,1,regular,4871081,Richard Young,RB,Alabama,Western Kentucky,-0.237,-0.703,-0.16
22,2024,1,regular,4875267,George Hart III,RB,Western Kentucky,Alabama,-0.309,-0.162,-0.383
23,2024,1,regular,4876132,Josh Cuevas,TE,Alabama,Western Kentucky,0.86,0.86,
24,2024,1,regular,4914830,Easton Messer,WR,Western Kentucky,Alabama,-0.338,-0.221,-0.687
25,2024,1,regular,5079506,Daniel Hill,RB,Alabama,Western Kentucky,0.06,,0.06
26,2024,1,regular,5079647,Caleb Odom,WR,Alabama,Western Kentucky,0.915,0.915,
27,2024,1,regular,5085434,LT Sanders,RB,Western Kentucky,Alabama,-0.367,-0.082,-0.509
28,2024,1,regular,5095915,Moussa Barry,WR,Western Kentucky,Alabama,0.082,0.082,
29,2024,1,regular,5110500,Kevin Riley,RB,Alabama,Western Kentucky,0.08,,0.08
30,2024,1,regular,5141711,Ryan Williams,WR,Alabama,Western Kentucky,6.369,6.369,
31,2024,1,regular,3116099,Monte Harrison,WR,Arkansas,Arkansas-Pine Bluff,1.119,1.119,
32,2024,1,regular,4427331,Khafre Brown,WR,Arkansas,Arkansas-Pine Bluff,1.836,1.836,
33,2024,1,regular,4429313,Tyrone Broden Jr.,WR,Arkansas,Arkansas-Pine Bluff,1.632,1.632,
34,2024,1,regular,4431325,Taylen Green,QB,Arkansas,Arkansas-Pine Bluff,0.781,0.648,1.29
35,2024,1,regular,4685374,Rodney Hill,RB,Arkansas,Arkansas-Pine Bluff,0.571,0.37,0.671
36,2024,1,regular,4690972,Ja'Quinden Jackson,RB,Arkansas,Arkansas-Pine Bluff,1.102,0.435,1.269
37,2024,1,regular,4708090,Aramoni Rhone,WR,Arkansas-Pine Bluff,Arkansas,2.837,2.837,
38,2024,1,regular,4717724,Rashod Dubinion,RB,Arkansas,Arkansas-Pine Bluff,0.217,0.502,0.027
39,2024,1,regular,4837392,Ty Washington,TE,Arkansas,Arkansas-Pine Bluff,2.664,2.664,
40,2024,1,regular,4870709,Shamar Easter,TE,Arkansas,Arkansas-Pine Bluff,1.507,1.507,
41,2024,1,regular,4870797,Luke Hasz,TE,Arkansas,Arkansas-Pine Bluff,1.213,1.213,
42,2024,1,regular,4870999,Malachi Singleton,QB,Arkansas,Arkansas-Pine Bluff,0.828,0.786,1.034
43,2024,1,regular,4873168,Jordan Anthony,WR,Arkansas,Arkansas-Pine Bluff,1.334,1.334,
44,2024,1,regular,4884087,Daemon Dawkins,WR,Arkansas-Pine Bluff,Arkansas,-0.386,-0.386,
45,2024,1,regular,4884105,Kevin English,WR,Arkansas-Pine Bluff,Arkansas,-0.296,-0.296,
46,2024,1,regular,5079516,KJ Jackson,QB,Arkansas,Arkansas-Pine Bluff,0.789,1.077,-0.364
47,2024,1,regular,5079589,Braylen Russell,RB,Arkansas,Arkansas-Pine Bluff,1.008,,1.008
48,2024,1,regular,5080703,Isaiah Sategna,WR,Arkansas,Arkansas-Pine Bluff,1.491,1.491,
49,2024,1,regular,5080819,Davion Dozier,WR,Arkansas,Arkansas-Pine Bluff,2.162,2.162,
50,2024,1,regular,5082009,Donovan Giles,WR,Arkansas-Pine Bluff,Arkansas,2.844,2.844,
51,2024,1,regular,5084305,Mekhi Hagens,QB,Arkansas-Pine Bluff,Arkansas,0.075,0.112,-0.126
52,2024,1,regular,5084317,Johness Davis,RB,Arkansas-Pine Bluff,Arkansas,-0.798,,-0.798
53,2024,1,regular,5099744,Jaxson Isaac,TE,Arkansas-Pine Bluff,Arkansas,1.89,1.89,
54,2024,1,regular,5121763,Za'Marion Webber,RB,Arkansas-Pine Bluff,Arkansas,-1.005,,-1.005
55,2024,1,regular,5123663,Isaac Teslaa,WR,Arkansas,Arkansas-Pine Bluff,1.167,1.167,
56,2024,1,regular,5193351,Krosse Johnson,WR,Arkansas,Arkansas-Pine Bluff,0.572,0.572,
57,2024,1,regular,5218700,Tyrell Reed Jr.,RB,Arkansas,Arkansas-Pine Bluff,0.57,,0.57
58,2024,1,regular,5229489,JaVonnie Gibson,WR,Arkansas-Pine Bluff,Arkansas,1.348,1.348,
59,2024,1,regular,4360435,Jacolby Hewitt,WR,Alabama A&M,Auburn,0.441,0.441,
60,2024,1,regular,4429870,Keenan Hambrick,WR,Alabama A&M,Auburn,2.235,2.235,
61,2024,1,regular,4430590,Payton Thorne,QB,Auburn,Alabama A&M,1.113,1.043,1.464
62,2024,1,regular,4430870,Keandre Lambert,WR,Auburn,Alabama A&M,4.063,4.063,
63,2024,1,regular,4432797,Sean Jackson,RB,Auburn,Alabama A&M,-0.034,,-0.034
64,2024,1,regular,4568411,Cornelious Brown,QB,Alabama A&M,Auburn,0.047,0.272,-0.82
65,2024,1,regular,4697122,Gaston Moore,QB,Tennessee,Chattanooga,-0.69,-0.69,
66,2024,1,regular,4870683,Ethan Davis,TE,Tennessee,Chattanooga,1.6,1.6,
67,2024,1,regular,4870799,Nico Iamaleava,QB,Tennessee,Chattanooga,0.827,0.937,-0.053
68,2024,1,regular,4870941,Cameron Seldon,RB,Tennessee,Chattanooga,0.152,,0.152
69,2024,1,regular,4877021,Javin Whatley,WR,Chattanooga,Tennessee,2.078,2.078,
70,2024,1,regular,4877024,Sam Phillips,WR,Chattanooga,Tennessee,0.707,0.707,
71,2024,1,regular,4920140,Nathan Leacock,WR,Tennessee,Chattanooga,1.506,1.506,
72,2024,1,regular,4921108,DeSean Bishop,RB,Tennessee,Chattanooga,0.765,1.669,0.585
73,2024,1,regular,5078917,Khalifa Keith,RB,Tennessee,Chattanooga,0.512,,0.512
74,2024,1,regular,5079531,Jake Merklinger,QB,Tennessee,Chattanooga,-0.012,0.315,-0.668
75,2024,1,regular,5081368,Squirrel White,WR,Tennessee,Chattanooga,1.188,1.188,
76,2024,1,regular,5081397,Dylan Sampson,RB,Tennessee,Chattanooga,1.025,1.613,0.976
77,2024,1,regular,5088159,Chris Domercant,WR,Chattanooga,Tennessee,2.838,2.838,
78,2024,1,regular,5091739,Chris Brazzell II,WR,Tennessee,Chattanooga,1.148,1.148,
79,2024,1,regular,5119434,Trey Weary,WR,Tennessee,Chattanooga,0.536,0.536,
80,2024,1,regular,5122553,Peyton Lewis,RB,Tennessee,Chattanooga,-0.156,,-0.156
81,2024,1,regular,4568075,Juan Davis,TE,Texas,Colorado State,0.239,0.239,
82,2024,1,regular,4572525,Kobe Johnson,RB,Colorado State,Texas,-0.683,,-0.683
83,2024,1,regular,4589233,Dylan Goffney,WR,Colorado State,Texas,-0.009,-0.009,
84,2024,1,regular,4590532,Silas Bolden,WR,Texas,Colorado State,2.762,2.762,
85,2024,1,regular,4597703,Tory Horton,WR,Colorado State,Texas,0.553,0.553,
86,2024,1,regular,4608853,Peter Montini,TE,Colorado State,Texas,-0.142,-0.142,
87,2024,1,regular,4685279,Jaydon Blue,RB,Texas,Colorado State,0.274,0.781,0.089
88,2024,1,regular,4685601,Armani Winfield,WR,Colorado State,Texas,1.686,1.686,
89,2024,1,regular,4686728,Gunnar Helm,TE,Texas,Colorado State,0.909,0.909,
90,2024,1,regular,4701936,Matthew Golden,WR,Texas,Colorado State,2.414,2.414,
91,2024,1,regular,4808839,Isaiah Bond,WR,Texas,Colorado State,0.937,0.755,2.216
92,2024,1,regular,4833597,Brayden Fowler-Nicolosi,QB,Colorado State,Texas,-0.027,-0.027,
93,2024,1,regular,4869534,Amari Niblack,TE,Texas,Colorado State,0.363,0.363,
94,2024,1,regular,4870656,Johntay Cook II,WR,Texas,Colorado State,0.676,0.676,
95,2024,1,regular,4870906,Arch Manning,QB,Texas,Colorado State,0.921,1.096,0.571
96,2024,1,regular,4871076,Tre Wisner,RB,Texas,Colorado State,0.63,2.159,0.324
97,2024,1,regular,4889929,Quinn Ewers,QB,Texas,Colorado State,0.54,0.54,
98,2024,1,regular,5054036,Jackson Brousseau,QB,Colorado State,Texas,-0.441,-0.633,0.711
99,2024,1,regular,5078251,Justin Marshall,RB,Colorado State,Texas,-0.041,-0.055,-0.04
100,2024,1,regular,5079410,Jerrick Gibson,RB,Texas,Colorado State,0.403,,0.403
101,2024,1,regular,5079585,Jordan Ross,WR,Colorado State,Texas,1.401,1.401,
102,2024,1,regular,5081966,Colin Page,RB,Texas,Colorado State,-0.469,,-0.469
103,2024,1,regular,5082253,Keegan Holles,RB,Colorado State,Texas,0.142,0.061,0.222
104,2024,1,regular,5151382,Vince Brown II,TE,Colorado State,Texas,0.342,0.342,
105,2024,1,regular,5218633,Ryan Wingo,WR,Texas,Colorado State,1.608,1.608,
106,2024,1,regular,4426420,Devyn Ford,RB,Notre Dame,Texas A&M,-1.001,-1.001,
107,2024,1,regular,4428025,Kris Mitchell,WR,Notre Dame,Texas A&M,1.73,1.73,
108,2024,1,regular,4430825,E.J. Smith,RB,Texas A&M,Notre Dame,-0.226,-0.516,-0.154
109,2024,1,regular,4431210,Beaux Collins,WR,Notre Dame,Texas A&M,1.343,1.343,
110,2024,1,regular,4431600,Jayden Thomas,WR,Notre Dame,Texas A&M,1.288,1.288,
111,2024,1,regular,4567545,Jayden Harrison,WR,Notre Dame,Texas A&M,-0.521,-0.521,
112,2024,1,regular,4683423,Riley Leonard,QB,Notre Dame,Texas A&M,0.2,0.182,0.245
113,2024,1,regular,4685470,Le'Veon Moss,RB,Texas A&M,Notre Dame,0.048,-0.148,0.078
114,2024,1,regular,4685512,Jadarian Price,RB,Notre Dame,Texas A&M,-0.134,,-0.134
115,2024,1,regular,4685574,Conner Weigman,QB,Texas A&M,Notre Dame,-0.092,-0.209,0.511
116,2024,1,regular,4685784,Tre Watson,TE,Texas A&M,Notre Dame,0.676,0.676,
117,2024,1,regular,4718457,Noah Thomas,WR,Texas A&M,Notre Dame,1.092,1.092,
118,2024,1,regular,4870733,Cooper Flanagan,TE,Notre Dame,Texas A&M,1.545,1.545,
119,2024,1,regular,4870768,Jaden Greathouse,WR,Notre Dame,Texas A&M,0.878,0.878,
120,2024,1,regular,4870808,Jeremiyah Love,RB,Notre Dame,Texas A&M,0.166,-0.296,0.199
121,2024,1,regular,4879611,Amari Daniels,RB,Texas A&M,Notre Dame,0.458,,0.458
122,2024,1,regular,4912218,Cyrus Allen,WR,Texas A&M,Notre Dame,0.641,0.641,
123,2024,1,regular,5079326,Terry Bussey,WR,Texas A&M,Notre Dame,-0.347,,-0.347
124,2024,1,regular,5150424,Jordan Faison,WR,Notre Dame,Texas A&M,0.33,0.33,
125,2024,1,regular,5160110,Jahdae Walker,WR,Texas A&M,Notre Dame,0.351,0.35,0.353
126,2024,1,regular,4427601,Ali Jennings,WR,Virginia Tech,Vanderbilt,2.482,2.482,
127,2024,1,regular,4428439,Collin Schlee,QB,Virginia Tech,Vanderbilt,-1.327,-2.08,0.178
128,2024,1,regular,4429773,Loic Fouonji,WR,Vanderbilt,Virginia Tech,1.159,1.159,
129,2024,1,regular,4431574,Eli Stowers,TE,Vanderbilt,Virginia Tech,0.9,1.255,-0.164
130,2024,1,regular,4432215,Stephen Gosnell,WR,Virginia Tech,Vanderbilt,0.871,0.871,
131,2024,1,regular,4572380,Quincy Skinner Jr.,WR,Vanderbilt,Virginia Tech,1.45,1.45,
132,2024,1,regular,4575348,Da'Quan Felton,WR,Virginia Tech,Vanderbilt,-0.882,-0.882,
