,player_name,id,player_id,att,yds,avg,td,int,qbr
20,Aaron Philo,59,5132812,18.5,141.25,7.9,0.25,0.5,71.6
21,Aidan Armenta,2433,5122054,10.5,50.5,3.95,0.0,0.5,27.5
22,Aidan Chiles,127,5075805,35.0,241.0,6.9,0.0,3.0,53.0
24,Aidan Warner,57,5155039,12.5,57.0,8.325,0.0,0.75,60.825
25,Alan Bowman,197,4362159,48.0,326.0,6.8,1.0,1.0,64.2
27,Alonza Barnett,256,4911929,34.0,388.0,11.4,5.0,0.0,95.5
28,Anthony Colandrea,258,5044387,29.09090909090909,193.1818181818182,6.6,1.1818181818181819,1.0,44.45454545454545
29,Antonio Williams,228,5081432,1.0,31.0,31.0,0.5,0.0,100.0
30,Arch Manning,251,4870906,15.0,156.33333333333334,10.033333333333333,1.5,0.3333333333333333,63.416666666666664
31,Ashton Daniels,24,4838679,24.636363636363637,154.54545454545453,6.245454545454546,0.9090909090909091,1.0909090909090908,53.49090909090909
32,Athan Kaliakmanis,164,4432722,25.0,269.0,10.8,0.0,0.0,77.6
33,Austin Mack,333,5079508,3.0,39.0,13.0,1.0,0.0,99.6
34,Austin Simmons,145,5141684,4.125,39.5,14.0375,0.25,0.0,63.5625
36,Ben Finley,2006,4431091,27.0,110.0,4.1,1.0,1.0,38.6
37,Ben Wooldridge,309,4373895,29.0,257.0,8.9,3.0,0.0,87.5
38,Billy Edwards,120,4592532,43.0,263.0,6.1,2.0,0.0,58.3
40,Bishop Davenport,6,4869553,8.0,50.0,6.3,0.0,0.0,18.6
41,Blake Horvath,2426,5081504,12.0,92.0,7.7,0.0,0.0,90.6
42,Blake Shapen,344,4565315,27.0,243.5,9.225,2.0,0.25,50.825
43,Brady Cook,142,4429435,26.923076923076923,214.53846153846155,8.038461538461538,0.9230769230769231,0.15384615384615385,69.77692307692308
44,Braedyn Locke,275,4702829,26.0,125.0,4.8,1.0,0.0,52.2
45,Brandon Nunez,166,5220782,4.0,12.0,3.0,0.0,0.0,42.4
46,Brendan Sorsby,2132,4899046,38.0,298.0,7.8,3.0,0.0,73.7
47,Brendan Sullivan,2294,4683058,18.0,131.0,7.3,1.0,1.0,43.4
49,Brian Buschini,158,4570906,1.0,8.0,8.0,0.0,0.0,100.0
50,Brock Glenn,52,4920158,16.285714285714285,85.28571428571429,5.528571428571429,0.5714285714285714,0.7142857142857143,32.74285714285714
51,Brock Vandagriff,96,4432782,19.818181818181817,144.8181818181818,7.181818181818182,0.9090909090909091,0.7272727272727273,55.92727272727273
53,Byrum Brown,58,4880272,32.5,178.5,5.7,0.0,0.0,57.35
54,CJ Bailey,152,5079301,27.454545454545453,219.27272727272728,8.39090909090909,1.5454545454545454,0.9090909090909091,58.154545454545456
55,CJ Harris,25,4686788,15.5,92.0,6.15,0.0,0.5,31.35
57,Cade Klubnik,228,4685413,34.5625,258.4375,7.84375,2.1875,0.5625,76.8625
59,Caden Veltkamp,98,4869991,24.0,121.5,3.5500000000000003,1.0,1.0,35.1
