season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2024,Air Force,Mountain West,105.5,5.3,55.4,44.8,0.339,0.106,0.683,0.248,0.217,0.206,0.515,0.187
2024,Akron,Mid-American,174.5,64.9,90.4,19.1,0.718,0.91,0.681,0.49,0.759,0.994,0.666,0.525
2024,Alabama,SEC,306.6,140.9,70.9,94.8,0.604,1.009,0.303,0.705,0.547,0.946,0.268,0.404
2024,Appalachian State,Sun Belt,513.4,206.7,241.8,64.9,0.875,0.966,0.82,0.828,0.792,0.971,0.768,0.64
2024,Arizona,Pac-12,295.2,152.2,139.9,3.1,0.616,0.909,0.576,0.045,0.542,0.98,0.453,0.169
2024,Arizona State,Pac-12,146.7,35.2,40.8,70.7,0.614,0.905,0.337,0.897,0.595,0.585,0.426,0.796
2024,Arkansas,SEC,182.3,2.6,179.3,0.5,0.516,0.027,0.944,0.007,0.307,0.003,0.893,0.205
2024,Arkansas State,Sun Belt,341.7,113.3,174.7,53.7,0.85,1.038,0.739,0.95,0.849,0.769,0.823,0.938
2024,Army,FBS Independents,148.2,44.1,44.6,59.4,0.693,1.035,0.561,0.649,0.743,0.723,0.646,0.772
2024,Auburn,SEC,226.1,55.2,80.8,90.1,0.689,1.047,0.494,0.805,0.839,0.921,0.607,0.89
2024,Ball State,Mid-American,112.3,16.1,49.5,46.7,0.564,0.548,0.583,0.554,0.563,0.668,0.703,0.403
2024,Baylor,Big 12,205.8,31.8,134.4,39.7,0.552,0.308,0.655,0.621,0.596,0.283,0.736,0.855
2024,Boise State,Mountain West,264.8,78.2,104.2,82.4,0.491,0.525,0.421,0.578,0.485,0.377,0.379,0.611
2024,Boston College,ACC,352.1,84.0,126.9,141.1,0.878,1.024,0.738,0.959,0.84,0.915,0.725,0.834
2024,Bowling Green,Mid-American,249.6,101.3,74.7,73.6,0.662,0.969,0.43,0.749,0.721,0.972,0.319,0.782
2024,Buffalo,Mid-American,33.1,5.6,8.9,18.6,0.148,0.089,0.075,0.441,0.181,0.062,0.119,0.325
2024,BYU,Big 12,122.4,-9.0,103.3,28.0,0.588,-0.251,0.773,0.731,0.561,0.367,0.756,0.613
