homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Nebraska,Michigan,3.5,Michigan -3.5,,,,,
Nebraska,Michigan,3.0,Michigan -3,,,,,
Washington State,Washington,12.5,Washington -12.5,,,,,
Washington,Ohio State,13.5,Ohio State -13.5,,,,,
Ole Miss,LSU,2.5,LSU -2.5,,,,,
Ole Miss,LSU,2.0,LSU -2,,,,,
Arkansas,Notre Dame,10.5,Notre Dame -10.5,,,,,
Kansas,Fresno State,-14.0,Kansas -14,31.0,7.0,24.0,10.0,Kansas covered
Kansas,Fresno State,-14.5,Kansas -14.5,31.0,7.0,24.0,9.5,Kansas covered
Kansas,Fresno State,-14.0,Kansas -14.0,31.0,7.0,24.0,10.0,Kansas covered
Western Kentucky,Sam Houston,-9.5,Western Kentucky -9.5,41.0,24.0,17.0,7.5,Western Kentucky covered
Western Kentucky,Sam Houston,-10.5,Western Kentucky -10.5,41.0,24.0,17.0,6.5,Western Kentucky covered
Western Kentucky,Sam Houston,-9.5,Western Kentucky -9.5,41.0,24.0,17.0,7.5,Western Kentucky covered
Hawai'i,Stanford,-1.5,Hawai'i -1.5,23.0,20.0,3.0,1.5,Hawai'i covered
Hawai'i,Stanford,-1.5,Hawai'i -1.5,23.0,20.0,3.0,1.5,Hawai'i covered
Hawai'i,Stanford,-2.0,Hawai'i -2.0,23.0,20.0,3.0,1.0,Hawai'i covered
South Florida,Boise State,8.5,Boise State -8.5,34.0,7.0,-27.0,-35.5,Boise State did NOT cover | OUTRIGHT UNDERDOG WIN: South Florida
South Florida,Boise State,5.5,Boise State -5.5,34.0,7.0,-27.0,-32.5,Boise State did NOT cover | OUTRIGHT UNDERDOG WIN: South Florida
South Florida,Boise State,4.5,Boise State -4.5,34.0,7.0,-27.0,-31.5,Boise State did NOT cover | OUTRIGHT UNDERDOG WIN: South Florida
Rutgers,Ohio,-11.5,Rutgers -11.5,34.0,31.0,3.0,-8.5,Rutgers did NOT cover
Rutgers,Ohio,-15.5,Rutgers -15.5,34.0,31.0,3.0,-12.5,Rutgers did NOT cover
Rutgers,Ohio,-15.5,Rutgers -15.5,34.0,31.0,3.0,-12.5,Rutgers did NOT cover
UCF,Jacksonville State,-16.5,UCF -16.5,17.0,10.0,7.0,-9.5,UCF did NOT cover
UCF,Jacksonville State,-20.5,UCF -20.5,17.0,10.0,7.0,-13.5,UCF did NOT cover
UCF,Jacksonville State,-20.5,UCF -20.5,17.0,10.0,7.0,-13.5,UCF did NOT cover
NC State,East Carolina,-12.5,NC State -12.5,24.0,17.0,7.0,-5.5,NC State did NOT cover
NC State,East Carolina,-13.5,NC State -13.5,24.0,17.0,7.0,-6.5,NC State did NOT cover
NC State,East Carolina,-14.0,NC State -14.0,24.0,17.0,7.0,-7.0,NC State did NOT cover
Akron,Wyoming,8.5,Wyoming -8.5,0.0,10.0,10.0,1.5,Wyoming covered
Akron,Wyoming,4.5,Wyoming -4.5,0.0,10.0,10.0,5.5,Wyoming covered
Akron,Wyoming,5.0,Wyoming -5.0,0.0,10.0,10.0,5.0,Wyoming covered
Minnesota,Buffalo,-16.5,Minnesota -16.5,23.0,10.0,13.0,-3.5,Minnesota did NOT cover
Minnesota,Buffalo,-16.5,Minnesota -16.5,23.0,10.0,13.0,-3.5,Minnesota did NOT cover
Minnesota,Buffalo,-18.5,Minnesota -18.5,23.0,10.0,13.0,-5.5,Minnesota did NOT cover
Wisconsin,Miami (OH),-17.5,Wisconsin -17.5,17.0,0.0,17.0,-0.5,Wisconsin did NOT cover
Wisconsin,Miami (OH),-18.5,Wisconsin -18.5,17.0,0.0,17.0,-1.5,Wisconsin did NOT cover
Wisconsin,Miami (OH),-18.0,Wisconsin -18.0,17.0,0.0,17.0,-1.0,Wisconsin did NOT cover
Cincinnati,Nebraska,6.5,Nebraska -6.5,17.0,20.0,3.0,-3.5,Nebraska did NOT cover
Cincinnati,Nebraska,5.5,Nebraska -5.5,17.0,20.0,3.0,-2.5,Nebraska did NOT cover
Cincinnati,Nebraska,6.0,Nebraska -6.0,17.0,20.0,3.0,-3.0,Nebraska did NOT cover
Michigan State,Western Michigan,-18.5,Michigan State -18.5,23.0,6.0,17.0,-1.5,Michigan State did NOT cover
Michigan State,Western Michigan,-22.5,Michigan State -22.5,23.0,6.0,17.0,-5.5,Michigan State did NOT cover
Michigan State,Western Michigan,-21.5,Michigan State -21.5,23.0,6.0,17.0,-4.5,Michigan State did NOT cover
Wake Forest,Kennesaw State,-17.5,Wake Forest -17.5,10.0,9.0,1.0,-16.5,Wake Forest did NOT cover
Wake Forest,Kennesaw State,-18.5,Wake Forest -18.5,10.0,9.0,1.0,-17.5,Wake Forest did NOT cover
Wake Forest,Kennesaw State,-18.5,Wake Forest -18.5,10.0,9.0,1.0,-17.5,Wake Forest did NOT cover
Charlotte,App State,8.5,App State -8.5,11.0,34.0,23.0,14.5,App State covered
Charlotte,App State,19.5,App State -19.5,11.0,34.0,23.0,3.5,App State covered
Charlotte,App State,3.0,App State -3.0,11.0,34.0,23.0,20.0,App State covered
Colorado,Georgia Tech,4.0,Georgia Tech -4,20.0,27.0,7.0,3.0,Georgia Tech covered
Colorado,Georgia Tech,3.5,Georgia Tech -3.5,20.0,27.0,7.0,3.5,Georgia Tech covered
Colorado,Georgia Tech,3.5,Georgia Tech -3.5,20.0,27.0,7.0,3.5,Georgia Tech covered
Baylor,Auburn,1.5,Auburn -1.5,24.0,38.0,14.0,12.5,Auburn covered
Baylor,Auburn,-1.5,Baylor -1.5,24.0,38.0,-14.0,-15.5,Baylor did NOT cover | OUTRIGHT UNDERDOG WIN: Auburn
Baylor,Auburn,1.0,Auburn -1.0,24.0,38.0,14.0,13.0,Auburn covered
Sam Houston,UNLV,13.5,UNLV -13.5,21.0,38.0,17.0,3.5,UNLV covered
Sam Houston,UNLV,8.5,UNLV -8.5,21.0,38.0,17.0,8.5,UNLV covered
Sam Houston,UNLV,9.0,UNLV -9.0,21.0,38.0,17.0,8.0,UNLV covered
San José State,Central Michigan,-11.5,San José State -11.5,14.0,16.0,-2.0,-13.5,San José State did NOT cover | OUTRIGHT UNDERDOG WIN: Central Michigan
San José State,Central Michigan,-14.5,San José State -14.5,14.0,16.0,-2.0,-16.5,San José State did NOT cover | OUTRIGHT UNDERDOG WIN: Central Michigan
San José State,Central Michigan,-14.5,San José State -14.5,14.0,16.0,-2.0,-16.5,San José State did NOT cover | OUTRIGHT UNDERDOG WIN: Central Michigan
Purdue,Ball State,-16.5,Purdue -16.5,31.0,0.0,31.0,14.5,Purdue covered
Purdue,Ball State,-16.5,Purdue -16.5,31.0,0.0,31.0,14.5,Purdue covered
Purdue,Ball State,-16.5,Purdue -16.5,31.0,0.0,31.0,14.5,Purdue covered
Maryland,Florida Atlantic,-16.5,Maryland -16.5,39.0,7.0,32.0,15.5,Maryland covered
Maryland,Florida Atlantic,-13.5,Maryland -13.5,39.0,7.0,32.0,18.5,Maryland covered
Maryland,Florida Atlantic,-12.5,Maryland -12.5,39.0,7.0,32.0,19.5,Maryland covered
Southern Miss,Mississippi State,11.5,Mississippi State -11.5,17.0,34.0,17.0,5.5,Mississippi State covered
Southern Miss,Mississippi State,15.5,Mississippi State -15.5,17.0,34.0,17.0,1.5,Mississippi State covered
Southern Miss,Mississippi State,14.5,Mississippi State -14.5,17.0,34.0,17.0,2.5,Mississippi State covered
Tulane,Northwestern,-6.5,Tulane -6.5,23.0,3.0,20.0,13.5,Tulane covered
Tulane,Northwestern,-6.5,Tulane -6.5,23.0,3.0,20.0,13.5,Tulane covered
Tulane,Northwestern,-5.0,Tulane -5.0,23.0,3.0,20.0,15.0,Tulane covered
Kentucky,Toledo,-10.0,Kentucky -10,24.0,16.0,8.0,-2.0,Kentucky did NOT cover
Kentucky,Toledo,-9.5,Kentucky -9.5,24.0,16.0,8.0,-1.5,Kentucky did NOT cover
Kentucky,Toledo,-10.0,Kentucky -10.0,24.0,16.0,8.0,-2.0,Kentucky did NOT cover
Indiana,Old Dominion,-23.5,Indiana -23.5,27.0,14.0,13.0,-10.5,Indiana did NOT cover
Indiana,Old Dominion,-23.5,Indiana -23.5,27.0,14.0,13.0,-10.5,Indiana did NOT cover
