,Unnamed: 0,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,yardsToGoal_x,year,talent,completionAttempts_made,completionAttempts_attempts,completionAttempts_pct,fourthDownEff_made,fourthDownEff_attempts,fourthDownEff_pct,thirdDownEff_made,thirdDownEff_attempts,thirdDownEff_pct,totalPenaltiesYards_made,totalPenaltiesYards_attempts,totalPenaltiesYards_pct,win,possesionMinute,possessionSeconds,possessionMinutes,yardsToGoal_y,season_x,seasonType_x,week_x,startDate_x,homeTeam_x,homeConference_x,homeClassification_x,homeScore_x,awayTeam_x,awayConference_x,awayClassification_x,awayScore_x,provider_x,spread_x,formattedSpread_x,spreadOpen_x,overUnder_x,overUnderOpen_x,homeMoneyline_x,awayMoneyline_x,0_x,season_y,seasonType_y,week_y,startDate_y,homeTeam_y,homeConference_y,homeClassification_y,homeScore_y,awayTeam_y,awayConference_y,awayClassification_y,awayScore_y,provider_y,spread_y,formattedSpread_y,spreadOpen_y,overUnder_y,overUnderOpen_y,homeMoneyline_y,awayMoneyline_y,0_y
0,0,401752665,52,Florida State,ACC,,31,9-14,0.0,20,2-2,1,0.0,,,0,0.0,15.0,1.0,7.0,152,5.0,,0,30:22,0.0,3.0,1.0,5.0,49,4,230,3.0,29.0,7.0,5-12,2.0,4-40,382,1,10.9,4.7,54.69047619047619,2025.0,828.45,9.0,14.0,0.6428571428571429,2.0,2.0,1.0,5.0,12.0,0.4166666666666667,4.0,40.0,0.1,1,30.0,22,30,54.69047619047619,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Florida State,ACC,fbs,31.0,Alabama,SEC,fbs,17.0,ESPN Bet,13.5,Alabama -13.5,13.5,46.5,50.5,450.0,-700.0,,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Florida State,ACC,fbs,31.0,Alabama,SEC,fbs,17.0,ESPN Bet,13.5,Alabama -13.5,13.5,46.5,50.5,450.0,-700.0,
1,1,401752665,333,Alabama,SEC,,17,23-43,0.0,18,2-5,0,1.0,,,0,,,,5.0,254,0.0,,2,29:38,,,,2.0,29,0,87,1.0,32.0,3.0,6-17,1.0,8-70,341,0,5.9,3.0,47.641304347826086,2025.0,993.55,23.0,43.0,0.5348837209302325,2.0,5.0,0.4,6.0,17.0,0.35294117647058826,8.0,70.0,0.11428571428571428,0,29.0,38,29,47.641304347826086,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Florida State,ACC,fbs,31.0,Alabama,SEC,fbs,17.0,ESPN Bet,13.5,Alabama -13.5,13.5,46.5,50.5,450.0,-700.0,,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Florida State,ACC,fbs,31.0,Alabama,SEC,fbs,17.0,ESPN Bet,13.5,Alabama -13.5,13.5,46.5,50.5,450.0,-700.0,
2,2,401752666,8,Arkansas,SEC,,52,26-36,0.0,29,0-0,0,2.0,,,0,0.0,53.0,2.0,10.0,358,5.0,,7,33:39,0.0,28.0,5.0,10.0,40,0,194,2.0,34.0,6.0,9-14,1.0,3-20,552,0,9.9,4.9,49.67619047619048,2025.0,772.64,26.0,36.0,0.7222222222222222,0.0,0.0,0.0,9.0,14.0,0.6428571428571429,3.0,20.0,0.15,1,33.0,39,33,49.67619047619048,2025.0,regular,1.0,2025-08-30T20:15:00.000Z,Arkansas,SEC,fbs,52.0,Alabama A&M,SWAC,fcs,7.0,ESPN Bet,-45.5,Arkansas -45.5,-46.5,62.5,62.5,,,,2025.0,regular,1.0,2025-08-30T20:15:00.000Z,Arkansas,SEC,fbs,52.0,Alabama A&M,SWAC,fcs,7.0,ESPN Bet,-45.5,Arkansas -45.5,-46.5,62.5,62.5,,,
3,3,401752666,2010,Alabama A&M,SWAC,,7,15-29,0.0,12,0-0,2,0.0,,,0,0.0,53.0,3.0,1.0,166,2.0,,0,26:21,0.0,5.0,1.0,3.0,26,1,69,2.0,37.0,5.0,1-12,1.0,7-42,235,2,5.7,2.7,65.56470588235294,,,15.0,29.0,0.5172413793103449,0.0,0.0,0.0,1.0,12.0,0.08333333333333333,7.0,42.0,0.16666666666666666,0,26.0,21,26,65.56470588235294,2025.0,regular,1.0,2025-08-30T20:15:00.000Z,Arkansas,SEC,fbs,52.0,Alabama A&M,SWAC,fcs,7.0,ESPN Bet,-45.5,Arkansas -45.5,-46.5,62.5,62.5,,,,2025.0,regular,1.0,2025-08-30T20:15:00.000Z,Arkansas,SEC,fbs,52.0,Alabama A&M,SWAC,fcs,7.0,ESPN Bet,-45.5,Arkansas -45.5,-46.5,62.5,62.5,,,
4,4,401752667,2,Auburn,SEC,,38,11-17,1.0,25,1-1,0,0.0,,,0,1.0,98.0,1.0,8.0,108,3.0,,0,33:18,,,,3.0,52,4,307,4.0,39.0,5.0,5-10,1.0,9-83,415,0,6.4,5.9,54.61290322580645,2025.0,891.84,11.0,17.0,0.6470588235294118,1.0,1.0,1.0,5.0,10.0,0.5,9.0,83.0,0.10843373493975904,1,33.0,18,33,54.61290322580645,2025.0,regular,1.0,2025-08-30T00:00:00.000Z,Baylor,Big 12,fbs,24.0,Auburn,SEC,fbs,38.0,ESPN Bet,-1.5,Baylor -1.5,1.0,56.5,57.5,-105.0,-115.0,,2025.0,regular,1.0,2025-08-30T00:00:00.000Z,Baylor,Big 12,fbs,24.0,Auburn,SEC,fbs,38.0,ESPN Bet,-1.5,Baylor -1.5,1.0,56.5,57.5,-105.0,-115.0,
5,5,401752667,239,Baylor,Big 12,,24,27-48,0.0,23,3-6,0,,,,0,0.0,53.0,2.0,6.0,419,3.0,,3,26:42,,,,1.0,24,0,64,1.0,41.0,1.0,5-15,,6-55,483,0,8.7,2.7,49.351063829787236,2025.0,726.3,27.0,48.0,0.5625,3.0,6.0,0.5,5.0,15.0,0.3333333333333333,6.0,55.0,0.10909090909090909,0,26.0,42,26,49.351063829787236,2025.0,regular,1.0,2025-08-30T00:00:00.000Z,Baylor,Big 12,fbs,24.0,Auburn,SEC,fbs,38.0,ESPN Bet,-1.5,Baylor -1.5,1.0,56.5,57.5,-105.0,-115.0,,2025.0,regular,1.0,2025-08-30T00:00:00.000Z,Baylor,Big 12,fbs,24.0,Auburn,SEC,fbs,38.0,ESPN Bet,-1.5,Baylor -1.5,1.0,56.5,57.5,-105.0,-115.0,
6,6,401752668,57,Florida,SEC,,55,27-36,1.0,28,0-0,0,2.0,,,0,0.0,25.0,1.0,13.0,251,2.0,,5,34:27,0.0,45.0,3.0,2.0,38,1,200,0.0,25.0,7.0,7-13,2.0,0-0,451,0,7.0,5.3,40.47422680412371,2025.0,898.58,27.0,36.0,0.75,0.0,0.0,0.0,7.0,13.0,0.5384615384615384,0.0,0.0,0.0,1,34.0,27,34,40.47422680412371,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Florida,SEC,fbs,55.0,Long Island University,NEC,fcs,0.0,ESPN Bet,-46.5,Florida -46.5,-45.5,56.5,56.5,,,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Florida,SEC,fbs,55.0,Long Island University,NEC,fcs,0.0,ESPN Bet,-46.5,Florida -46.5,-45.5,56.5,56.5,,,
7,7,401752668,2341,Long Island University,NEC,,0,4-11,0.0,2,0-1,2,0.0,,,0,,,,,49,1.0,,0,25:33,,,,1.0,32,0,37,1.0,43.0,9.0,1-12,2.0,12-100,86,2,4.5,1.2,70.4375,,,4.0,11.0,0.36363636363636365,0.0,1.0,0.0,1.0,12.0,0.08333333333333333,12.0,100.0,0.12,0,25.0,33,25,70.4375,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Florida,SEC,fbs,55.0,Long Island University,NEC,fcs,0.0,ESPN Bet,-46.5,Florida -46.5,-45.5,56.5,56.5,,,,2025.0,regular,1.0,2025-08-30T23:00:00.000Z,Florida,SEC,fbs,55.0,Long Island University,NEC,fcs,0.0,ESPN Bet,-46.5,Florida -46.5,-45.5,56.5,56.5,,,
8,8,401752669,61,Georgia,SEC,,45,19-32,0.0,27,3-3,0,,,,0,,,,9.0,249,1.0,,3,34:29,0.0,26.0,4.0,0.0,44,3,239,0.0,40.0,5.5,6-16,,2-15,488,0,7.8,5.4,50.642857142857146,2025.0,1002.98,19.0,32.0,0.59375,3.0,3.0,1.0,6.0,16.0,0.375,2.0,15.0,0.13333333333333333,1,34.0,29,34,50.642857142857146,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Georgia,SEC,fbs,45.0,Marshall,Sun Belt,fbs,7.0,ESPN Bet,-38.5,Georgia -38.5,-39.5,51.5,55.5,,,,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Georgia,SEC,fbs,45.0,Marshall,Sun Belt,fbs,7.0,ESPN Bet,-38.5,Georgia -38.5,-39.5,51.5,55.5,,,
9,9,401752669,276,Marshall,Sun Belt,,7,11-21,0.0,7,0-0,0,,,,0,0.0,52.0,3.0,1.0,129,5.0,,0,25:31,0.0,14.0,2.0,0.0,31,1,78,0.0,56.0,3.0,3-15,,6-42,207,0,6.1,2.5,71.34666666666666,2025.0,590.64,11.0,21.0,0.5238095238095238,0.0,0.0,0.0,3.0,15.0,0.2,6.0,42.0,0.14285714285714285,0,25.0,31,25,71.34666666666666,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Georgia,SEC,fbs,45.0,Marshall,Sun Belt,fbs,7.0,ESPN Bet,-38.5,Georgia -38.5,-39.5,51.5,55.5,,,,2025.0,regular,1.0,2025-08-30T19:30:00.000Z,Georgia,SEC,fbs,45.0,Marshall,Sun Belt,fbs,7.0,ESPN Bet,-38.5,Georgia -38.5,-39.5,51.5,55.5,,,
