gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401752665,Alabama,Florida State,17,31,468,92,7,2,6,22,6,14,5,7.2161834917682315,0.10022477071900321,0
401752665,Florida State,Alabama,31,17,452,84,4,0,6,16,7,9,3,18.27356756878325,0.2900566280759246,1
401752666,Alabama A&M,Arkansas,7,52,295,85,6,1,4,16,1,10,1,2.7821739576795474,0.050584981048719044,0
401752666,Arkansas,Alabama A&M,52,7,647,105,5,1,10,16,8,5,1,30.539662179567163,0.4071954957275622,1
401752667,Auburn,Baylor,38,24,475,93,4,1,8,12,6,8,2,20.217113930775568,0.28881591329679385,1
401752667,Baylor,Auburn,24,38,659,94,10,0,10,18,7,11,5,21.518743744608447,0.3030808978113866,0
401752668,Florida,Long Island University,55,0,770,97,3,2,12,14,7,7,5,26.501984124837197,0.35813492060590807,1
401752668,Long Island University,Florida,0,55,166,64,5,1,5,16,1,12,3,-19.853616385326244,-0.46171200896107545,0
401752669,Georgia,Marshall,45,7,616,98,2,1,9,17,7,12,5,28.909148798026553,0.38038353681613885,1
401752669,Marshall,Georgia,7,45,207,75,5,0,2,17,3,13,1,0.031618853325632745,0.0006199775161888774,0
401752670,Kentucky,Toledo,24,16,462,89,5,2,4,18,10,9,1,6.334194383531429,0.09897178724267858,1
401752670,Toledo,Kentucky,16,24,338,88,4,3,6,17,6,13,1,2.753377642659917,0.040490847686175245,0
401752671,Clemson,LSU,10,17,394,74,2,1,6,15,3,13,5,-0.6482488257517396,-0.011176703892271373,0
401752671,LSU,Clemson,17,10,528,94,7,2,6,14,5,9,3,4.343706969253419,0.06205295670362027,1
401752672,Georgia State,Ole Miss,7,63,403,79,5,1,5,17,2,14,6,-2.6192309196431776,-0.04515915378695134,0
401752672,Ole Miss,Georgia State,63,7,866,106,7,3,16,14,8,7,4,40.816941643362775,0.5039128597946022,1
401752673,Mississippi State,Southern Miss,34,17,597,115,14,2,6,19,11,10,2,23.53622862617565,0.313816381682342,1
401752673,Southern Miss,Mississippi State,17,34,351,103,7,1,4,21,10,12,2,3.421188007155302,0.047516500099379196,0
401752674,Central Arkansas,Missouri,6,61,372,81,4,1,3,15,3,10,3,-9.388605712512897,-0.15391156905758846,0
401752674,Missouri,Central Arkansas,61,6,765,94,4,1,12,15,9,4,3,37.589602390498705,0.5527882704485103,1
401752675,Illinois State,Oklahoma,3,35,270,64,3,0,4,13,1,11,5,-10.446894477167485,-0.227106401677554,0
401752675,Oklahoma,Illinois State,35,3,498,85,5,2,7,10,5,6,2,33.07455387886121,0.4793413605632059,1
401752676,Syracuse,Tennessee,26,45,458,106,5,3,9,18,5,10,3,12.91863661864999,0.15379329307916653,0
401752676,Tennessee,Syracuse,45,26,515,88,5,1,7,15,7,6,1,29.559640243983242,0.43470059182328297,1
401752677,Ohio State,Texas,14,7,229,77,5,0,1,14,4,11,1,1.9289361058476602,0.03572103899717889,1
401752677,Texas,Ohio State,7,14,317,81,4,2,3,16,5,12,1,-8.043202023008677,-0.1200477913881892,0
401752678,Texas A&M,UTSA,42,25,397,89,6,0,10,13,3,13,3,20.4387401369984,0.3464193243559051,1
401752678,UTSA,Texas A&M,25,42,653,90,4,1,10,17,5,14,9,14.8755755779995,0.2220235160895448,0
401752679,Charleston Southern,Vanderbilt,3,45,199,67,4,2,2,17,4,11,3,-4.947304761919925,-0.10755010351999837,0
401752679,Vanderbilt,Charleston Southern,45,0,556,88,10,3,6,13,8,4,1,33.192383318419985,0.5625827681088134,1
401752680,South Carolina,Virginia Tech,24,11,393,76,3,1,8,15,4,10,2,9.13577681701197,0.1631388717323566,1
401752680,Virginia Tech,South Carolina,11,24,554,99,7,3,10,24,7,16,7,-1.0430886631555563,-0.014487342543827171,0
401752793,Buffalo,Minnesota,10,23,297,61,3,0,3,12,1,12,5,1.3294484874101593,0.030917406683957194,0
401752793,Minnesota,Buffalo,23,10,707,106,3,2,9,20,13,8,3,17.41908574390333,0.22332161210132476,1
401752794,Ohio,Rutgers,31,37,612,104,7,0,10,18,7,8,2,20.326644554016752,0.24198386373829467,0
401752794,Rutgers,Ohio,37,31,552,98,3,0,6,16,4,10,8,26.232833464100704,0.3279104183012588,1
401752795,Illinois,Western Illinois,52,3,508,82,6,0,5,12,4,5,4,31.92781249692258,0.54114936435462,1
401752795,Western Illinois,Illinois,3,52,291,76,8,1,4,15,4,13,3,-9.147156484340197,-0.17590685546808071,0
401752796,Cincinnati,Nebraska,17,20,356,73,5,1,3,16,3,8,3,10.608700490937416,0.19288546347158939,0
401752796,Nebraska,Cincinnati,20,17,429,99,3,2,4,20,10,10,3,11.642621258281876,0.1512028734841802,1
401752797,Florida Atlantic,Maryland,7,41,504,108,10,8,8,23,8,13,3,-20.754869167753217,-0.22807548535992547,0
401752797,Maryland,Florida Atlantic,41,7,675,111,9,0,13,22,6,15,3,2.917683657001893,0.03789199554547913,1
401752798,Missouri State,USC,13,73,438,79,5,2,7,17,4,11,4,-2.957275730988567,-0.05476436538867717,0
401752798,USC,Missouri State,73,13,734,78,4,2,9,8,6,1,1,47.92471747272298,0.8262882322883273,1
401752799,Iowa,UAlbany,34,7,483,86,2,1,4,18,10,7,4,17.290594729828666,0.2542734519092451,1
401752799,UAlbany,Iowa,7,34,252,64,4,0,4,13,2,10,4,-0.9012383212239848,-0.01917528343029755,0
401752800,UCLA,Utah,13,43,312,62,1,1,3,11,2,9,4,3.3344090190860904,0.06538056900168805,0
401752800,Utah,UCLA,43,13,467,92,1,1,2,17,14,2,1,35.88661016464053,0.437641587373665,1
401752801,Ball State,Purdue,0,31,324,68,4,0,5,14,4,11,3,-1.6556121608204608,-0.03246298354549923,0
401752801,Purdue,Ball State,31,0,525,77,3,1,7,12,4,8,4,23.022477433016718,0.39693926608649516,1
401752802,Michigan State,Western Michigan,25,6,508,86,3,2,8,15,6,7,2,0.5707390960397594,0.008153415657710848,1
401752802,Western Michigan,Michigan State,6,25,369,69,1,2,9,14,4,11,4,-11.546375695158137,-0.20256799465189712,0
