,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
0,401752696,275,Wisconsin,Big Ten,away,14,11-17,1,14,1-1,0,,,,2,1,95,1,2,117,1,,1,31:04,,,,0,34,0,92,1,1,1,6-11,,6-65,209,2,6.9,2.7
1,401752696,333,Alabama,SEC,home,38,24-30,0,22,1-2,0,,0,8,0,,,,8,382,3,2,4,28:56,0,19,3,0,22,1,72,4,4,4,2-8,,7-57,454,0,12.7,3.3
2,401752697,2,Auburn,SEC,home,31,13-24,0,19,3-3,0,1,0,1,0,0,47,2,7,142,2,1,1,28:33,,,,0,39,3,195,1,54,7,7-13,0,4-43,337,0,5.9,5.0
3,401752697,6,South Alabama,Sun Belt,away,15,18-26,0,20,3-4,1,0,,,1,0,18,1,3,170,2,,2,31:27,,,,0,42,0,140,1,42,2,7-16,1,5-35,310,2,6.5,3.3
4,401752698,96,Kentucky,SEC,home,48,12-21,0,24,0-0,0,0,0,25,0,0,26,2,12,240,3,1,2,29:56,0,28,2,4,45,4,253,2,36,3,5-11,1,7-68,493,0,11.4,5.6
5,401752698,2199,Eastern Michigan,Mid-American,away,23,25-43,0,21,1-4,0,,,,1,,,,11,330,3,,1,30:04,,,,2,30,1,131,0,41,3,4-14,,7-45,461,1,7.7,4.4
6,401752699,57,Florida,SEC,away,10,33-49,0,23,1-1,0,,0,7,5,,,,4,287,4,1,1,37:46,0,43,3,1,27,0,79,0,30,3,6-17,,7-57,366,5,5.9,2.9
7,401752699,99,LSU,SEC,home,20,15-27,1,10,0-0,0,0,1,82,1,0,41,2,8,220,4,5,1,22:14,0,18,1,4,22,0,102,3,40,5,4-14,1,7-68,322,1,8.1,4.6
8,401752700,8,Arkansas,SEC,away,35,22-35,0,30,0-0,1,0,,,0,,,,5,305,3,,1,33:11,0,-2,1,0,37,4,221,1,41,4,9-12,1,7-68,526,1,8.7,6.0
9,401752700,145,Ole Miss,SEC,home,41,22-30,0,25,0-0,0,1,,,0,,,,11,357,6,,2,26:49,,,,5,40,3,118,0,38,2,8-12,0,7-63,475,0,11.9,3.0
