,,qbr,qbr,qbr,completion_pct,yards_per_attempt
,,mean,median,count,mean,mean
week,conference,,,,,
1,ACC,46.377,49.5,62,0.563,6.163
1,American Athletic,28.35,8.8,6,0.344,3.694
1,Big 12,76.5,72.1,7,0.711,15.956
1,Big Ten,65.51,77.55,20,0.644,6.814
1,Conference USA,17.1,17.1,2,0.513,2.095
1,Mid-American,46.033,54.3,3,0.54,6.406
1,SEC,63.666,81.6,59,0.607,9.36
1,Sun Belt,47.1,49.9,3,0.607,5.997
2,ACC,53.554,61.9,28,0.706,7.744
2,American Athletic,51.25,45.1,4,0.642,6.145
2,Big 12,65.12,73.7,5,0.506,5.764
2,Big Ten,34.15,34.15,2,0.611,5.285
2,Conference USA,40.475,38.25,4,0.459,4.529
2,Mid-American,7.0,7.0,1,0.3,2.75
2,SEC,56.596,54.5,27,0.645,7.662
2,Sun Belt,14.875,6.9,4,0.2,2.215
3,ACC,52.462,51.6,21,0.6,7.858
3,American Athletic,47.986,59.3,7,0.505,4.463
3,Big 12,80.7,80.7,1,0.533,7.0
3,Big Ten,67.833,58.3,3,0.717,4.708
3,Conference USA,40.1,40.1,1,0.528,7.806
3,Mid-American,42.717,33.35,6,0.464,2.844
3,SEC,62.804,75.35,26,0.596,7.893
3,Sun Belt,32.533,10.1,3,0.517,5.243
4,ACC,63.267,65.6,21,0.57,7.059
4,American Athletic,54.967,62.5,3,0.711,7.85
4,Big 12,92.95,92.95,2,0.826,7.771
4,Big Ten,59.333,53.0,3,0.579,8.484
4,Conference USA,19.25,19.25,2,0.318,1.924
4,Mid-American,35.0,38.6,5,0.432,3.828
4,SEC,62.032,73.4,22,0.6,7.501
4,Sun Belt,57.512,58.15,8,0.595,7.219
5,ACC,45.671,50.7,17,0.566,6.228
5,Conference USA,59.1,59.1,1,0.641,5.949
5,Mid-American,19.8,19.8,1,0.483,5.483
5,SEC,74.0,72.7,12,0.673,9.014
5,Sun Belt,55.4,60.1,3,0.639,7.628
