,,qbr,qbr,qbr,completion_pct,yards_per_attempt
,,mean,median,count,mean,mean
week,conference,,,,,
6,ACC,70.657,78.7,23,0.652,8.762
6,Big 12,16.8,16.8,1,0.545,7.5
6,SEC,62.979,76.5,14,0.569,7.58
7,ACC,59.942,62.8,19,0.575,7.223
7,SEC,56.772,66.1,18,0.622,7.075
8,ACC,63.065,74.2,20,0.603,8.773
8,Mid-American,53.2,53.2,1,0.724,6.552
8,SEC,44.184,51.0,25,0.562,5.818
9,ACC,51.117,46.6,23,0.594,6.227
9,SEC,59.281,72.55,16,0.616,8.359
10,ACC,51.605,49.6,20,0.547,6.742
10,SEC,59.961,61.25,18,0.578,8.967
11,ACC,49.611,58.0,19,0.576,6.964
11,SEC,67.729,72.3,17,0.65,9.797
12,ACC,53.873,55.9,15,0.571,7.062
12,Conference USA,27.4,27.4,2,0.283,3.605
12,SEC,67.295,78.55,20,0.618,7.257
12,Sun Belt,64.65,64.65,2,0.767,35.467
13,ACC,44.977,45.05,30,0.534,5.966
13,Conference USA,54.475,49.0,4,0.574,6.338
13,SEC,60.092,70.5,25,0.541,7.111
14,ACC,64.872,71.7,25,0.654,7.705
14,SEC,57.7,69.6,27,0.527,6.716
