collegeAthleteId,collegeTeam,overall,position
4837248,Indiana,1,Quarterback
4685248,Texas Tech,2,Defensive Edge
4870808,Notre Dame,3,Running Back
4871023,Ohio State,4,Wide Receiver
4950400,Ohio State,5,Linebacker
4880124,LSU,6,Cornerback
5081807,Ohio State,7,Linebacker
4880281,Arizona State,8,Wide Receiver
4870723,Utah,9,Offensive Tackle
4870914,Miami,10,Offensive Tackle
4870706,Ohio State,11,Safety
4870976,Alabama,12,Offensive Tackle
4685522,Alabama,13,Quarterback
4832793,Penn State,14,Offensive Guard
4870617,Miami,15,Defensive Edge
5083315,Oregon,16,Tight End
5081450,Clemson,17,Offensive Tackle
4602019,Florida,18,Defensive Tackle
4870694,Georgia,19,Offensive Tackle
4870795,USC,20,Wide Receiver
5150136,Arizona State,21,Offensive Tackle
4429190,Miami,22,Defensive Edge
4710067,UCF,23,Defensive Edge
4870653,Texas A&M,24,Wide Receiver
4954445,Oregon,25,Safety
4839498,Georgia Tech,26,Offensive Guard
4869579,San Diego State,27,Cornerback
4921438,Utah,28,Offensive Tackle
4871063,Clemson,29,Defensive Tackle
4723820,Indiana,30,Wide Receiver
4870707,Auburn,31,Defensive Edge
4685512,Notre Dame,32,Running Back
4710714,Ole Miss,33,Wide Receiver
4870596,Texas A&M,34,Offensive Guard
4870886,Clemson,35,Defensive Edge
4870893,Ohio State,36,Defensive Tackle
4921249,Tennessee,37,Cornerback
4697757,Arizona,38,Safety
4832800,Washington,39,Wide Receiver
5081927,Oklahoma,40,Defensive Edge
4710752,Texas A&M,41,Defensive Edge
4685479,Georgia,42,Defensive Tackle
4566094,Texas Tech,43,Linebacker
4685461,Michigan,44,Defensive Edge
4839501,Missouri,45,Defensive Edge
4870998,Missouri,46,Linebacker
4685261,Alabama,47,Wide Receiver
4870988,Clemson,48,Cornerback
4431551,Texas Tech,49,Defensive Tackle
5118340,Indiana,50,Cornerback
4877652,Cincinnati,51,Linebacker
5076652,South Carolina,52,Cornerback
4870598,Georgia,53,Linebacker
4431574,Vanderbilt,54,Tight End
4837244,Illinois,55,Defensive Edge
4686248,Texas A&M,56,Tight End
4686907,Iowa,57,Center
4837186,Toledo,58,Safety
4695705,Michigan,59,Tight End
4870805,Texas,60,Linebacker
4833029,Ohio State,61,Tight End
4832035,Ohio State,62,Cornerback
4682506,Florida,63,Center
4430262,TCU,64,Safety
4430841,Miami,65,Quarterback
4683535,Texas A&M,66,Defensive Tackle
4911904,Auburn,67,Defensive Edge
5219831,Miami,68,Offensive Tackle
4685504,Stanford,69,Tight End
4432244,Texas Tech,70,Defensive Edge
5081432,Clemson,71,Wide Receiver
4726127,Washington,72,Cornerback
4702559,Georgia,73,Tight End
4682648,Notre Dame,74,Wide Receiver
4869645,Texas Tech,75,Wide Receiver
4714771,Penn State,76,Quarterback
4820574,Missouri,77,Defensive Tackle
4905664,LSU,78,Safety
4870612,Georgia,79,Wide Receiver
4870847,USC,80,Wide Receiver
4612298,Texas A&M,81,Defensive Tackle
4698728,Iowa State,82,Defensive Tackle
5091739,Tennessee,83,Wide Receiver
5220680,Georgia State,84,Wide Receiver
4685327,Georgia,85,Cornerback
4597310,Florida,86,Offensive Tackle
4880236,Ohio State,87,Tight End
4608929,Oregon,88,Offensive Guard
4869748,LSU,89,Wide Receiver
4696044,Indiana,90,Running Back
4431623,Texas A&M,91,Center
4685266,Michigan,92,Defensive Edge
4575003,Missouri,93,Offensive Tackle
4869961,Louisville,94,Wide Receiver
4831959,Notre Dame,95,Tight End
4431258,Iowa,96,Offensive Tackle
4592836,Northwestern,97,Offensive Tackle
4710865,Miami,98,Safety
4684543,Arkansas,99,Cornerback
4912185,Maryland,100,Cornerback
5157289,Tennessee,101,Cornerback
4869533,Boston College,102,Offensive Tackle
4612836,Florida State,103,Defensive Tackle
5084514,SE Louisiana,104,Defensive Tackle
4685553,Mississippi State,105,Wide Receiver
4880873,Oklahoma,106,Offensive Guard
4685369,Oklahoma,107,Defensive Tackle
4702555,Washington,108,Running Back
4710706,Oregon,109,Safety
4685413,Clemson,110,Quarterback
4868598,Boise State,111,Offensive Tackle
4685554,Penn State,112,Offensive Tackle
4838270,Kentucky,113,Offensive Guard
4702577,Florida,114,Cornerback
5088338,Indiana,115,Wide Receiver
5093694,Miami,116,Cornerback
4876658,Memphis,117,Offensive Tackle
4896353,Michigan,118,Linebacker
4832922,Duke,119,Defensive Edge
4685315,Penn State,120,Defensive Edge
5081338,Iowa,121,Wide Receiver
4686658,Arkansas,122,Running Back
4837286,Clemson,123,Linebacker
4870953,Texas,124,Cornerback
4683153,UConn,125,Wide Receiver
4594321,TCU,126,Linebacker
4565779,Washington,127,Offensive Tackle
4870866,Auburn,128,Center
5151083,Texas A&M,129,Cornerback
4879212,Texas,130,Defensive Edge
4950551,Arizona,131,Safety
4433938,Auburn,132,Offensive Guard
4432260,SMU,133,Tight End
4595343,Oklahoma,134,Linebacker
5088571,Oregon,135,Linebacker
4879276,North Dakota State,136,Wide Receiver
4870960,Alabama,137,Defensive Edge
4880273,Pittsburgh,138,Linebacker
4685523,Washington,139,Cornerback
5092508,Georgia,140,Wide Receiver
4685518,USC,141,Safety
4710000,Arkansas,142,Offensive Guard
4869132,Texas Tech,143,Wide Receiver
4874515,Kansas State,144,Center
4682818,South Carolina,145,Defensive Tackle
4816090,Alabama,146,Center
5081392,Tennessee,147,Defensive Edge
4592823,Iowa,148,Offensive Guard
5150249,Alabama,149,Linebacker
4682488,Arizona,150,Safety
4566384,Penn State,151,Safety
4912052,NC State,152,Tight End
4569661,Kentucky,153,Center
5086161,Louisiana,154,Linebacker
4429007,Clemson,155,Defensive Tackle
