player_name,player_id,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
A.J. Duffy,4685334,New Haven,NEC,Season,197,334,2347,7.026946107784431,22,10,,11,0.5898203592814372
AJ Bianco,4819250,Nevada,Mountain West,Season,25,42,192,4.571428571428571,1,1,23.799999999999997,14,0.5952380952380952
AJ Hairston,5146355,Massachusetts,Mid-American,Season,104,211,929,4.402843601895735,4,4,17.250710900473933,12,0.4928909952606635
AJ Hill,5141473,Memphis,American Athletic,Season,19,32,223,6.96875,1,1,24.75625,8,0.59375
AJ Swann,5081405,App State,Sun Belt,Season,130,222,1494,6.72972972972973,10,8,37.778378378378385,12,0.5855855855855856
Aaron Philo,5132812,Georgia Tech,ACC,Season,21,28,373,13.321428571428571,1,1,75.9,2,0.75
Abram Johnston,5226585,Northwestern State,Southland,Season,116,213,1121,5.262910798122066,7,9,,13,0.5446009389671361
Adam Damante,5152503,New Mexico State,Conference USA,Season,70,103,711,6.902912621359223,5,4,42.59708737864078,14,0.6796116504854369
Adam Urena,5227565,Mercyhurst,NEC,Season,237,369,2401,6.506775067750677,13,10,,13,0.6422764227642277
Aden Hooper,5306523,Langston,,Season,21,47,192,4.085106382978723,1,3,,3,0.44680851063829785
Aidan Armenta,5122054,UL Monroe,Sun Belt,Season,147,252,1619,6.424603174603175,12,8,32.141666666666666,14,0.5833333333333334
Aidan Bouman,4429179,South Dakota,MVFC,Season,189,301,2538,8.43189368770764,23,5,,15,0.627906976744186
Aidan Chiles,5075805,Michigan State,Big Ten,Season,128,203,1392,6.857142857142857,10,3,57.79359605911329,9,0.6305418719211823
Aidan Jakobsohn,5300880,UT Rio Grande Valley,Southland,Season,15,25,183,7.32,2,1,,5,0.6
Aiden McCown,5154911,Lamar,Southland,Season,112,190,1436,7.557894736842106,10,6,,14,0.5894736842105263
Alessio Milivojevic,5146670,Michigan State,Big Ten,Season,111,172,1267,7.366279069767442,10,2,55.71104651162791,14,0.6453488372093024
Alex Gevaudan,5227557,Mercyhurst,NEC,Season,21,35,237,6.771428571428571,1,1,,8,0.6
Alonza Barnett,4911929,James Madison,Sun Belt,Season,216,370,2806,7.583783783783784,23,8,57.868648648648644,15,0.5837837837837838
Amari Odom,5153782,Kennesaw State,Conference USA,Season,189,291,2594,8.914089347079038,19,8,53.925085910652925,15,0.6494845360824743
Amari Powell,5088992,St. Thomas (MN),Pioneer,Season,31,53,424,8.0,3,2,,13,0.5849056603773585
Andrew Body,4887151,Alabama State,SWAC,Season,113,160,1770,11.0625,20,1,,10,0.70625
Andrew Indorf,5301657,Towson,CAA,Season,187,314,2344,7.464968152866242,16,4,,13,0.5955414012738853
Andy Peters,4686848,St. Thomas (MN),Pioneer,Season,150,231,2061,8.922077922077921,17,5,,12,0.6493506493506493
Anthony Colandrea,5044387,UNLV,Mountain West,Season,275,417,3459,8.29496402877698,23,9,66.40311750599521,15,0.6594724220623501
Anthony Grigsby Jr.,5219586,Cal Poly,Big Sky,Season,44,82,774,9.439024390243903,6,4,,13,0.5365853658536586
Arch Manning,4870906,Texas,SEC,Season,248,404,3163,7.829207920792079,26,7,70.57054455445544,14,0.6138613861386139
Ari Patu,4592531,North Alabama,UAC,Season,48,94,517,5.5,5,4,,7,0.5106382978723404
Ashten Snelsire,5083373,Richmond,Patriot,Season,57,110,826,7.509090909090909,8,5,,13,0.5181818181818182
Ashton Daniels,4838679,Auburn,SEC,Season,68,119,797,6.697478991596639,3,2,67.09579831932774,14,0.5714285714285714
Ashton Frye,5085259,Grambling,SWAC,Season,17,26,142,5.461538461538462,1,0,,7,0.6538461538461539
Ashton Strother,5308438,Southern,SWAC,Season,89,169,1111,6.57396449704142,4,4,,12,0.5266272189349113
Athan Kaliakmanis,4432722,Rutgers,Big Ten,Season,229,368,3124,8.48913043478261,20,7,60.8554347826087,14,0.6222826086956522
Austin Mack,5079508,Alabama,SEC,Season,24,31,228,7.354838709677419,2,0,81.84516129032258,13,0.7741935483870968
Austin Myers,5085356,Central Arkansas,UAC,Season,124,217,1597,7.359447004608295,13,7,,12,0.5714285714285714
Austin Simmons,5141684,Ole Miss,SEC,Season,44,72,740,10.277777777777779,3,5,55.348611111111104,11,0.6111111111111112
Avery Johnson,4870857,Kansas State,Big 12,Season,204,341,2380,6.979472140762463,18,6,64.56920821114369,14,0.5982404692082112
Ayden Pereira,5083490,Merrimack,FCS Independents,Season,159,310,1846,5.95483870967742,9,7,,13,0.5129032258064516
Baron May,4431246,Bowling Green,Mid-American,Season,12,22,142,6.454545454545454,1,0,31.2,9,0.5454545454545454
Battle Alberson,5223983,Chattanooga,Southern,Season,47,79,630,7.974683544303797,5,3,,13,0.5949367088607594
Baxter Wright,5227854,Murray State,MVFC,Season,65,88,540,6.136363636363637,2,1,,13,0.7386363636363636
Baylor Hayes,5224011,Tulsa,American Athletic,Season,186,316,2159,6.832278481012659,12,6,42.095253164556965,14,0.5886075949367089
Bear Bachmeier,5141367,BYU,Big 12,Season,251,387,3033,7.837209302325581,15,7,72.27054263565891,15,0.648578811369509
Beau Brungard,5109518,Youngstown State,MVFC,Season,277,403,3230,8.014888337468983,26,3,,14,0.6873449131513648
Beau Pribula,4685696,Missouri,SEC,Season,182,270,1946,7.207407407407407,11,9,67.39629629629628,14,0.674074074074074
Beckham Pellant,5227699,Illinois State,MVFC,Season,11,21,83,3.9523809523809526,1,1,,13,0.5238095238095238
Behren Morton,4431465,Texas Tech,Big 12,Season,219,333,2780,8.348348348348349,22,6,67.55105105105105,15,0.6576576576576577
Ben Finley,4431091,Akron,Mid-American,Season,186,362,2475,6.837016574585635,19,9,33.622651933701654,13,0.5138121546961326
Ben Gulbranson,4431114,Stanford,ACC,Season,148,260,1813,6.973076923076923,9,10,32.80153846153846,10,0.5692307692307692
Bennett Judy,5159361,Western Carolina,Southern,Season,50,83,420,5.0602409638554215,3,2,,3,0.6024096385542169
Billy Atkins,4877811,South Carolina State,MEAC,Season,169,267,2319,8.685393258426966,16,4,,13,0.6329588014981273
Bishop Davenport,4869553,South Alabama,Sun Belt,Season,200,294,2072,7.0476190476190474,12,6,48.71564625850339,14,0.6802721088435374
Blaine Hipa,4816095,Princeton,Ivy,Season,41,72,456,6.333333333333333,0,1,,13,0.5694444444444444
Blake Baker,5150998,Louisiana Tech,Conference USA,Season,102,155,1252,8.07741935483871,5,3,58.35612903225807,11,0.6580645161290323
Blake Horvath,5081504,Navy,American Athletic,Season,90,145,1498,10.331034482758621,11,5,59.44758620689655,14,0.6206896551724138
Blake Shapen,4565315,Mississippi State,SEC,Season,195,304,2436,8.013157894736842,15,8,55.87730263157895,12,0.6414473684210527
Bo Kelly,5083145,Cal Poly,Big Sky,Season,63,108,706,6.537037037037037,7,1,,9,0.5833333333333334
Brad Jackson,5148803,Texas State,Sun Belt,Season,251,352,3223,9.15625,21,7,68.12784090909089,14,0.7130681818181818
Braden Atkinson,5212654,Mercer,Southern,Season,268,407,3611,8.872235872235873,34,11,,15,0.6584766584766585
Braden Davis,4685309,Hampton,CAA,Season,94,152,1036,6.815789473684211,4,8,,12,0.618421052631579
Braden Graham,5126467,Holy Cross,Patriot,Season,41,72,295,4.097222222222222,2,2,,10,0.5694444444444444
Brady Davidson,5210128,Northern Illinois,Mid-American,Season,35,78,327,4.1923076923076925,2,2,16.402564102564103,13,0.44871794871794873
Brady Jones,5296163,Western Michigan,Mid-American,Season,14,31,110,3.5483870967741935,0,1,10.541935483870969,3,0.45161290322580644
Brady Lichtenberg,4590294,Cincinnati,Big 12,Season,14,21,134,6.380952380952381,2,1,24.94285714285714,3,0.6666666666666666
Brady Olson,4683471,Central Connecticut,NEC,Season,271,458,3132,6.8384279475982535,25,7,,14,0.5917030567685589
Brady Stober,5212705,Samford,Southern,Season,122,195,1240,6.358974358974359,7,7,,12,0.6256410256410256
Brandon Nunez,5220782,Mississippi Valley State,SWAC,Season,62,124,722,5.82258064516129,3,7,,14,0.5
Brandon Rose,4804885,Massachusetts,Mid-American,Season,52,87,424,4.873563218390805,1,2,18.80574712643678,13,0.5977011494252874
Brandon Tennison,5151316,UTSA,American Athletic,Season,17,26,140,5.384615384615385,1,0,69.16153846153847,11,0.6538461538461539
Brayden Fowler-Nicolosi,4833597,Colorado State,Mountain West,Season,44,82,488,5.951219512195122,1,2,38.232926829268294,4,0.5365853658536586
Braylon Braxton,4600403,Southern Miss,Sun Belt,Season,254,400,3053,7.6325,24,8,47.89625,14,0.635
Brendan Sorsby,4899046,Cincinnati,Big 12,Season,206,335,2786,8.316417910447761,26,5,76.14,14,0.6149253731343284
Brendon Lewis,4429149,Memphis,American Athletic,Season,253,368,2673,7.263586956521739,16,7,62.75489130434784,14,0.6875
Brennan Myer,5226265,Bryant,CAA,Season,103,180,1193,6.627777777777778,7,7,,5,0.5722222222222222
Brinley Vandiver,5222937,Miles,SIAC,Season,42,67,423,6.313432835820896,2,0,,5,0.6268656716417911
Broc Lowry,5074245,Western Michigan,Mid-American,Season,166,262,1803,6.8816793893129775,9,3,50.6202290076336,15,0.6335877862595419
Brock Riddle,5227733,Indiana State,MVFC,Season,23,52,293,5.634615384615385,3,3,,9,0.4423076923076923
Bronson Barben,5224562,Utah Tech,UAC,Season,169,288,1682,5.840277777777778,6,12,,13,0.5868055555555556
Bronson Barron,4697131,Southern Utah,UAC,Season,173,263,2135,8.11787072243346,11,4,,13,0.6577946768060836
Bryce Patterson,5084352,Morehead State,Pioneer,Season,43,79,533,6.746835443037975,2,4,,7,0.5443037974683544
Bryce Schondelmyer,5154881,Dayton,Pioneer,Season,106,158,1398,8.848101265822784,16,0,,8,0.6708860759493671
Bryce Underwood,5141741,Michigan,Big Ten,Season,202,335,2428,7.2477611940298505,11,9,66.06686567164178,14,0.6029850746268657
Bryson Barnes,4695600,Utah State,Mountain West,Season,211,356,2802,7.870786516853933,18,5,53.71235955056179,14,0.5926966292134831
Byrd Ficklin,5294263,Utah,Big 12,Season,10,22,140,6.363636363636363,2,0,74.3,9,0.45454545454545453
Byron McNair,5298787,Tennessee State,Big South-OVC,Season,151,240,1546,6.441666666666666,9,5,,13,0.6291666666666667
Byrum Brown,4880272,South Florida,American Athletic,Season,226,341,3158,9.260997067448681,28,7,69.69677419354838,14,0.6627565982404692
C.J. Carr,5079369,Notre Dame,FBS Independents,Season,195,293,2741,9.35494880546075,24,6,75.03515358361776,14,0.6655290102389079
CJ Bailey,5079301,NC State,ACC,Season,273,397,3105,7.821158690176323,25,9,69.71586901763224,14,0.6876574307304786
Cade Klubnik,4685413,Clemson,ACC,Season,257,392,2943,7.50765306122449,16,6,54.82551020408164,14,0.6556122448979592
Cade McNamara,4427455,East Tennessee State,Southern,Season,123,184,1292,7.021739130434782,7,6,,9,0.6684782608695652
Caden Creel,5122157,Jacksonville State,Conference USA,Season,127,208,1482,7.125,9,4,49.75,15,0.6105769230769231
Caden Pinnick,5226019,UC Davis,Big Sky,Season,211,304,2804,9.223684210526315,29,9,,15,0.694078947368421
Caden Veltkamp,4869991,Florida Atlantic,American Athletic,Season,345,514,3652,7.1050583657587545,24,17,53.880739299610894,14,0.6712062256809338
Cal Swanson,5075592,Holy Cross,Patriot,Season,86,163,1021,6.263803680981595,5,5,,6,0.5276073619631901
Cale Hellums,5150297,Army,American Athletic,Season,36,58,480,8.275862068965518,4,1,55.186206896551724,14,0.6206896551724138
Caleb Koger,5152064,Central Arkansas,UAC,Season,24,38,326,8.578947368421053,4,3,,13,0.631578947368421
Caleb Sanchez,5224816,Columbia,Ivy,Season,37,72,416,5.777777777777778,2,1,,9,0.5138888888888888
Cam Fancher,4700135,UCF,Big 12,Season,41,72,333,4.625,0,0,55.03333333333333,7,0.5694444444444444
Cam Ransom,4565189,Bethune-Cookman,SWAC,Season,132,207,1730,8.357487922705314,13,5,,12,0.6376811594202898
Cam'Ron McCoy,4917305,Southern,SWAC,Season,48,100,657,6.57,5,2,,14,0.48
Camden Orth,4577962,Chattanooga,Southern,Season,123,218,1654,7.587155963302752,13,9,,10,0.5642201834862385
Cameran Brown,5193926,Georgia State,Sun Belt,Season,116,180,1245,6.916666666666667,13,1,62.10611111111111,13,0.6444444444444445
Cameron Peters,5227681,Prairie View A&M,SWAC,Season,181,285,2735,9.596491228070175,21,7,,15,0.6350877192982456
Cardell Williams,4872721,Sacramento State,Big Sky,Season,110,175,1621,9.262857142857143,10,7,,13,0.6285714285714286
Carlos Del Rio-Wilson,4432691,Marshall,Sun Belt,Season,169,253,2033,8.035573122529645,17,5,57.717786561264816,14,0.6679841897233202
Caron Tyler,5157537,Valparaiso,Pioneer,Season,40,62,400,6.451612903225806,2,2,,8,0.6451612903225806
Carson Beck,4430841,Miami,ACC,Season,338,468,3813,8.147435897435898,30,12,79.19935897435899,14,0.7222222222222222
Carson Camp,4695784,SE Louisiana,Southland,Season,142,226,1794,7.938053097345133,14,7,,14,0.6283185840707964
Carson Conklin,4920192,Fresno State,Mountain West,Season,47,96,354,3.6875,1,2,20.303124999999998,12,0.4895833333333333
Carter Cravens,4876865,Morehead State,Pioneer,Season,149,235,1863,7.927659574468085,11,6,,13,0.6340425531914894
Carter Jones,5205097,Nevada,Mountain West,Season,111,172,1001,5.819767441860465,6,8,41.06220930232558,14,0.6453488372093024
Carter Peevy,4692052,Maine,CAA,Season,200,338,2234,6.609467455621302,17,7,,13,0.591715976331361
Carter Smith,5141687,Wisconsin,Big Ten,Season,26,46,201,4.369565217391305,2,1,42.05652173913043,14,0.5652173913043478
Casey Bullock,5224535,Davidson,Pioneer,Season,21,35,198,5.6571428571428575,0,1,,4,0.6
Casey Case,4566381,Stony Brook,CAA,Season,11,22,101,4.590909090909091,0,0,,8,0.5
Cason Carswell,5299364,Western Illinois,Big South-OVC,Season,187,307,2054,6.690553745928339,16,3,,13,0.6091205211726385
Chandler Morris,4692530,Virginia,ACC,Season,282,436,3000,6.8807339449541285,16,9,63.32339449541284,15,0.6467889908256881
Chandler Wilson,5168665,VMI,Southern,Season,24,51,199,3.9019607843137254,1,1,,12,0.47058823529411764
Charlie Gilliam,5077059,Samford,Southern,Season,24,40,251,6.275,1,5,,10,0.6
Chase Altis,5308950,Greensboro,USA South,Season,21,36,208,5.777777777777778,0,2,,4,0.5833333333333334
Chase Goodwin,5154125,Columbia,Ivy,Season,109,205,1262,6.15609756097561,9,9,,13,0.5317073170731708
Chase Jenkins,4986096,Rice,American Athletic,Season,118,169,992,5.8698224852071,9,2,41.932544378698225,14,0.6982248520710059
Chase Mason,5085784,South Dakota State,MVFC,Season,146,224,2021,9.022321428571429,15,4,,15,0.6517857142857143
Chase Spellman,5225940,Drake,Pioneer,Season,38,56,489,8.732142857142858,2,2,,7,0.6785714285714286
Chris Dietrich,5147067,Bucknell,Patriot,Season,79,122,875,7.172131147540983,9,4,,11,0.6475409836065574
Chris Howell,5159288,Long Island University,NEC,Season,26,61,278,4.557377049180328,1,4,,6,0.4262295081967213
Chris Irvin,4880758,Western Illinois,Big South-OVC,Season,59,121,659,5.446280991735537,5,3,,5,0.48760330578512395
Chris Parson,4870889,Austin Peay,UAC,Season,182,288,2673,9.28125,21,5,,13,0.6319444444444444
Chris Stephenson,5161159,Stetson,Pioneer,Season,51,96,446,4.645833333333333,2,4,,13,0.53125
Christian Burks,5166450,Savannah State,SIAC,Season,11,21,116,5.523809523809524,0,1,,6,0.5238095238095238
Christian Peters,5303362,Arkansas-Pine Bluff,SWAC,Season,162,289,1924,6.657439446366782,12,9,,11,0.5605536332179931
