player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
4432759,Sawyer Robertson,Baylor,Big 12,Auburn,27,48,419,8.7,3,0,65.6,1,0.5625
4870607,Jackson Arnold,Auburn,SEC,Baylor,11,17,108,6.4,0,0,93.7,1,0.6470588235294118
5227430,Kobe Muasau,Morgan State,MEAC,South Alabama,14,22,156,7.1,0,1,,1,0.6363636363636364
4869553,Bishop Davenport,South Alabama,Sun Belt,Morgan State,12,14,166,11.9,2,0,10.5,1,0.8571428571428571
4568411,Cornelious Brown,Alabama A&M,SWAC,Arkansas,9,19,130,6.8,0,0,,1,0.47368421052631576
5225612,Eric Handley,Alabama A&M,SWAC,Arkansas,6,10,36,3.6,0,0,,1,0.6
4431325,Taylen Green,Arkansas,SEC,Alabama A&M,24,31,322,10.4,6,0,86.4,1,0.7741935483870968
5121169,Darian Mensah,Duke,ACC,Arizona State,29,51,327,6.4,4,1,60.5,1,0.5686274509803921
4429066,Jeff Sims,Arizona State,Big 12,Duke,27,38,375,9.9,3,1,85.0,1,0.7105263157894737
5295238,Luke Weaver,Hawai'i,Mountain West,Arizona,8,16,66,4.1,0,2,26.5,1,0.5
5101124,Micah Alejado,Hawai'i,Mountain West,Arizona,18,31,157,5.1,0,1,28.3,1,0.5806451612903226
4801717,Noah Fifita,Arizona,Big 12,Hawai'i,13,23,161,7.0,1,0,42.5,1,0.5652173913043478
5084084,Kevin Jennings,SMU,ACC,Arizona,21,32,278,8.7,0,3,,1,0.65625
4801717,Noah Fifita,Arizona,Big 12,SMU,28,43,265,6.2,3,1,,1,0.6511627906976745
4884392,Christopher Zellous,Stony Brook,CAA,San Diego State,5,15,21,1.4,0,0,,1,0.3333333333333333
4566381,Casey Case,Stony Brook,CAA,San Diego State,4,10,25,2.5,0,0,,1,0.4
4685311,Jayden Denegal,San Diego State,Mountain West,Stony Brook,13,25,207,8.3,1,0,26.5,1,0.52
4683291,Joey Labas,Central Michigan,Mid-American,San José State,5,10,56,5.6,0,0,20.2,1,0.5
4694149,Walker Eget,San José State,Mountain West,Central Michigan,24,43,308,7.2,2,2,35.3,1,0.5581395348837209
5101124,Micah Alejado,Hawai'i,Mountain West,Stanford,27,39,210,5.4,2,0,48.3,1,0.6923076923076923
4431114,Ben Gulbranson,Stanford,ACC,Hawai'i,15,30,109,3.6,0,1,14.0,1,0.5
5101124,Micah Alejado,Hawai'i,Mountain West,California,32,46,274,6.0,3,0,77.6,1,0.6956521739130435
5164313,Jaron-Keawe Sagapolutele,California,ACC,Hawai'i,28,39,337,8.6,1,0,79.0,1,0.717948717948718
4569535,Jacob Clark,Missouri State,Conference USA,USC,16,24,147,6.1,1,2,18.9,1,0.6666666666666666
5141563,Husan Longstreet,USC,Big Ten,Missouri State,9,9,69,7.7,1,0,97.4,1,1.0
4685454,Jayden Maiava,USC,Big Ten,Missouri State,15,18,295,16.4,2,0,96.1,1,0.8333333333333334
4431375,Ken Seals,TCU,Big 12,USC,29,40,258,6.5,1,1,65.0,1,0.725
4685454,Jayden Maiava,USC,Big Ten,TCU,18,30,280,9.3,1,2,69.3,1,0.6
5079653,Demond Williams Jr.,Washington,Big Ten,Colorado State,18,24,226,9.4,1,0,69.7,1,0.75
4833597,Brayden Fowler-Nicolosi,Colorado State,Mountain West,Washington,17,32,180,5.6,1,1,56.8,1,0.53125
4683471,Brady Olson,Central Connecticut,NEC,UConn,8,19,118,6.2,0,0,,1,0.42105263157894735
4755664,Nick Evers,UConn,FBS Independents,Central Connecticut,8,11,83,7.5,1,0,72.9,1,0.7272727272727273
