id,season,seasonType,week,startDate,homeTeamId,homeTeam,homeConference,homeClassification,homeScore,awayTeamId,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline
401777329,2025,regular,15,2025-12-06T17:00:00.000Z,2711,Western Michigan,Mid-American,fbs,23,193,Miami (OH),Mid-American,fbs,13,ESPN Bet,-2.5,Western Michigan -2.5,-2.5,43.5,43.5,-140.0,115.0
401777325,2025,regular,15,2025-12-06T00:00:00.000Z,55,Jacksonville State,Conference USA,fbs,15,338,Kennesaw State,Conference USA,fbs,19,ESPN Bet,-1.5,Jacksonville State -1.5,-1.5,58.5,58.5,-115.0,-105.0
401777327,2025,regular,15,2025-12-06T17:00:00.000Z,2641,Texas Tech,Big 12,fbs,34,252,BYU,Big 12,fbs,7,ESPN Bet,-13.5,Texas Tech -13.5,-11.5,50.5,50.5,-650.0,425.0
401777353,2025,regular,15,2025-12-07T01:00:00.000Z,194,Ohio State,Big Ten,fbs,10,84,Indiana,Big Ten,fbs,13,ESPN Bet,-5.5,Ohio State -5.5,-6.5,48.5,48.5,-210.0,175.0
401777326,2025,regular,15,2025-12-06T01:00:00.000Z,68,Boise State,Mountain West,fbs,38,2439,UNLV,Mountain West,fbs,21,ESPN Bet,-3.5,Boise State -3.5,-3.5,57.5,57.5,-165.0,140.0
401777328,2025,regular,15,2025-12-07T01:00:00.000Z,258,Virginia,ACC,fbs,20,150,Duke,ACC,fbs,27,ESPN Bet,,,,,,,
401756961,2025,regular,14,2025-11-29T02:00:00.000Z,9,Arizona State,Big 12,fbs,7,12,Arizona,Big 12,fbs,23,ESPN Bet,2.5,Arizona -2.5,1.5,47.5,50.5,105.0,-125.0
401777351,2025,regular,15,2025-12-06T21:00:00.000Z,333,Alabama,SEC,fbs,7,61,Georgia,SEC,fbs,28,ESPN Bet,2.5,Georgia -2.5,2.5,47.5,47.5,115.0,-135.0
401836055,2025,regular,14,2025-11-29T17:00:00.000Z,222,Villanova,CAA,fcs,52,108,Harvard,Ivy,fcs,7,ESPN Bet,2.0,Harvard -2,,53.5,,,
401833969,2025,regular,14,2025-11-29T18:00:00.000Z,2000,Abilene Christian,UAC,fcs,38,2320,Lamar,Southland,fcs,20,ESPN Bet,-12.5,Abilene Christian -12.5,,45.5,,,
401836115,2025,regular,14,2025-11-29T18:00:00.000Z,2635,Tennessee Tech,Big South-OVC,fcs,6,155,North Dakota,MVFC,fcs,31,ESPN Bet,2.0,North Dakota -2,,48.5,,,
401836195,2025,regular,14,2025-11-29T18:00:00.000Z,233,South Dakota,MVFC,fcs,38,2181,Drake,Pioneer,fcs,17,ESPN Bet,-21.0,South Dakota -21,,46.5,,,
401833975,2025,regular,14,2025-11-29T17:00:00.000Z,2754,Youngstown State,MVFC,fcs,42,43,Yale,Ivy,fcs,43,ESPN Bet,-4.5,Youngstown State -4.5,,61.5,,,
