school,id,logos,mascot,conference
Abilene Christian,2000,https://cdn.collegefootballdata.com/logos/500/2000.png,Wildcats,UAC
Adams State,2001,https://cdn.collegefootballdata.com/logos/500/2001.png,Grizzlies,Rocky Mountain
Adrian,2003,https://cdn.collegefootballdata.com/logos/500/2003.png,Bulldogs,Michigan
Air Force,2005,https://cdn.collegefootballdata.com/logos/500/2005.png,Falcons,Mountain West
Akron,2006,https://cdn.collegefootballdata.com/logos/500/2006.png,Zips,Mid-American
Alabama,333,https://cdn.collegefootballdata.com/logos/500/333.png,Crimson Tide,SEC
Alabama A&M,2010,https://cdn.collegefootballdata.com/logos/500/2010.png,Bulldogs,SWAC
Alabama State,2011,https://cdn.collegefootballdata.com/logos/500/2011.png,Hornets,SWAC
Albany State,2013,https://cdn.collegefootballdata.com/logos/500/2013.png,Golden Rams,SIAC
Albion,2790,https://cdn.collegefootballdata.com/logos/500/2790.png,Britons,Michigan
Albright,2015,https://cdn.collegefootballdata.com/logos/500/2015.png,Lions,Mid Atlantic
Alcorn State,2016,https://cdn.collegefootballdata.com/logos/500/2016.png,Braves,SWAC
Alderson-Broaddus,2017,https://cdn.collegefootballdata.com/logos/500/2017.png,Battlers,Mountain East
Alfred,365,https://cdn.collegefootballdata.com/logos/500/365.png,Saxons,Empire 8
Alfred State,3162,https://cdn.collegefootballdata.com/logos/500/3162.png,Pioneers,Empire 8
Allegheny,2018,https://cdn.collegefootballdata.com/logos/500/2018.png,Gators,Presidents'
Allen,2019,,Yellow Jackets,SIAC
Alma,2800,https://cdn.collegefootballdata.com/logos/500/2800.png,Scots,Michigan
Alvernia,111674,,Golden Wolves,Mid Atlantic
American International,2022,https://cdn.collegefootballdata.com/logos/500/2022.png,Yellow Jackets,Northeast 10
Amherst,7,https://cdn.collegefootballdata.com/logos/500/7.png,Mammoths,NESCAC
Anderson (IN),2023,https://cdn.collegefootballdata.com/logos/500/2023.png,Ravens,Heartland
Anderson (SC),129469,,Trojans,South Atlantic
Angelo State,2025,https://cdn.collegefootballdata.com/logos/500/2025.png,Rams,Lone Star
Apprentice School,3111,[],Builders,Independent DIII
App State,2026,https://cdn.collegefootballdata.com/logos/500/2026.png,Mountaineers,Sun Belt
Arizona,12,https://cdn.collegefootballdata.com/logos/500/12.png,Wildcats,Big 12
Arizona State,9,https://cdn.collegefootballdata.com/logos/500/9.png,Sun Devils,Big 12
Arkansas,8,https://cdn.collegefootballdata.com/logos/500/8.png,Razorbacks,SEC
Arkansas Monticello,2028,https://cdn.collegefootballdata.com/logos/500/2028.png,Boll Weevils,Great American
Arkansas-Pine Bluff,2029,https://cdn.collegefootballdata.com/logos/500/2029.png,Golden Lions,SWAC
Arkansas State,2032,https://cdn.collegefootballdata.com/logos/500/2032.png,Red Wolves,Sun Belt
Arkansas Tech,2033,https://cdn.collegefootballdata.com/logos/500/2033.png,Wonder Boys,Great American
Army,349,https://cdn.collegefootballdata.com/logos/500/349.png,Black Knights,American Athletic
Ashland,308,https://cdn.collegefootballdata.com/logos/500/308.png,Eagles,Great Midwest Athletic
Assumption,2038,https://cdn.collegefootballdata.com/logos/500/2038.png,Greyhounds,Northeast 10
Auburn,2,https://cdn.collegefootballdata.com/logos/500/2.png,Tigers,SEC
Augsburg,124,https://cdn.collegefootballdata.com/logos/500/124.png,Auggies,Minnesota
