playerId,firstName_x,lastName_x,position_x,team,name_school,season,firstName_y,lastName_y,position_y,origin,destination,transferDate,rating,stars,eligibility
4427804,Siale,Taupaki,DT,UCLA,SialeTaupakiUCLA,2026,Siale,Taupaki,DL,UCLA,Penn State,2026-01-09T02:58:37.000Z,0.87,3.0,Immediate
4428986,Justin,Flowe,LB,UNLV,JustinFloweUNLV,2026,Justin,Flowe,LB,UNLV,,2026-04-04T03:36:39.000Z,,5.0,Withdrawn
4429093,Quincy,Brown,WR,Florida Atlantic,QuincyBrownFlorida Atlantic,2026,Quincy,Brown,WR,Florida Atlantic,,2025-12-09T20:07:00.000Z,0.84,3.0,Immediate
4429233,James,Ash,DL,Auburn,JamesAshAuburn,2026,James,Ash,DL,Auburn,,2026-01-02T16:47:00.000Z,,3.0,Immediate
4429465,Devyn,Curtis,LB,Arkansas State,DevynCurtisArkansas State,2026,Devyn,Curtis,LB,Arkansas State,,2026-01-13T15:12:00.000Z,,3.0,Immediate
4429517,Brian,Dillard,S,South Alabama,BrianDillardSouth Alabama,2026,Brian,Dillard,CB,South Alabama,,2026-01-06T20:58:00.000Z,,3.0,TBD
4429557,Choe,Bryant-Strother,LB,BYU,ChoeBryant-StrotherBYU,2026,Choe,Bryant-Strother,EDGE,BYU,,2026-01-16T15:17:00.000Z,,3.0,Immediate
4429804,Jimmy,Calloway,WR,Tulane,JimmyCallowayTulane,2026,Jimmy,Calloway,WR,Tulane,Tulsa,2026-01-14T18:42:00.000Z,0.84,3.0,Immediate
4430121,Aidan,Keanaaina,DL,California,AidanKeanaainaCalifornia,2026,Aidan,Keanaaina,DL,California,,2026-01-17T05:25:00.000Z,,3.0,Immediate
4430629,Jeremiah,Piper,CB,Youngstown State,JeremiahPiperYoungstown State,2026,Jeremiah,Piper,CB,Youngstown State,Oklahoma State,2026-05-16T22:00:00.000Z,0.84,3.0,Immediate
4430782,Stephon,Wright,DL,UConn,StephonWrightUConn,2026,Stephon,Wright,DL,UConn,Colorado State,2026-01-09T17:04:00.000Z,,4.0,Immediate
4430827,Troy,Omeire,WR,UNLV,TroyOmeireUNLV,2026,Troy,Omeire,WR,UNLV,New Mexico,2026-01-23T19:25:00.000Z,0.87,3.0,Immediate
4430853,Darrion,Henry-Young,DT,Coastal Carolina,DarrionHenry-YoungCoastal Carolina,2026,Darrion,Henry-Young,DL,Coastal Carolina,Virginia,2026-01-17T22:40:00.000Z,0.85,3.0,Immediate
4430884,Kedrick,Bingley-Jones,DL,Mississippi State,KedrickBingley-JonesMississippi State,2026,Kedrick,Bingley-Jones,DL,Mississippi State,Alabama,2026-01-12T02:15:00.000Z,0.86,3.0,Immediate
4430954,Lukas,Ungar,TE,New Mexico State,LukasUngarNew Mexico State,2026,Lukas,Ungar,TE,New Mexico State,Virginia,2026-01-26T23:33:00.000Z,0.85,3.0,Immediate
4431009,Hunter,Welcing,TE,Northwestern,HunterWelcingNorthwestern,2026,Hunter,Welcing,TE,Northwestern,Ohio State,2026-01-12T20:29:00.000Z,0.91,4.0,Immediate
4431120,Micah,Harper,S,Montana,MicahHarperMontana,2026,Micah,Harper,S,Montana,Iowa State,2026-01-18T21:12:00.000Z,0.86,3.0,Immediate
4431131,Devin,Hightower,LB,UAB,DevinHightowerUAB,2026,Devin,Hightower,LB,UAB,Tulsa,2026-02-02T22:12:00.000Z,0.84,3.0,Immediate
4431156,Aaron,Armitage,DL,Florida International,AaronArmitageFlorida International,2026,Aaron,Armitage,DL,Florida International,,2026-01-02T13:13:00.000Z,,3.0,Immediate
4431195,DeAndre,Boykins,DB,Oklahoma State,DeAndreBoykinsOklahoma State,2026,DeAndre,Boykins,S,Oklahoma State,Florida International,2026-01-14T00:04:00.000Z,0.84,3.0,Immediate
4431200,Keith,Brown,LB,Washington State,KeithBrownWashington State,2026,Keith,Brown,LB,Washington State,,2025-12-17T16:43:00.000Z,0.85,3.0,Withdrawn
4431227,Damarjhe,Lewis,DT,SMU,DamarjheLewisSMU,2026,Damarjhe,Lewis,DL,SMU,Washington State,2026-01-21T18:05:00.000Z,0.85,3.0,Immediate
4431293,Devonte,Golden-Nelson,CB,West Virginia,DevonteGolden-NelsonWest Virginia,2026,Devonte,Golden-Nelson,CB,West Virginia,,2025-10-24T19:39:00.000Z,,3.0,Immediate
