playerId,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
184812,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094390,10,0,0,15,0,0.5,19,0,0,1,0.5,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245322,0,1,2,16,0,6.0,32,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,0,29,29.0,,,,,
3149911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,17,0,247,14.5,,,,,
385738,0,0,0,6,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3941258,0,0,0,4,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,0,20,10.0,,,,,
4036672,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,55,56,3,2397,42.8,,,,,,,,,,
4039307,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4040767,2,0,0,11,0,0.5,21,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053898,0,0,0,6,0,0,11,,,,34.0,1,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,3,172,9.1,,,,,
4243265,2,0,1,13,0,2.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4244849,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,45,2,641,14.2,,,,,
4248034,1,0,0,10,0,0,14,0,0,1,0.0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4251322,0,0,2,4,0,4.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258419,0,0,0,0,0,0,1,,,,,,,,18.2,24,5,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,0,54,9.0,62,72,2,403,6.5
4360303,3,8,2,19,0,3.5,24,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4360862,1,1,0,2,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,0,0,,,,,,,,,,,,,,,,
4361000,1,0,0,4,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4362188,,,,,,,,,,,,,,,21.0,28,2,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,0,35,5.8,,,,,
4362190,1,0,1,3,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4362263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,9,9.0,5,9,0,23,4.6
4362791,0,0,0,20,0,2.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4365814,0,0,0,3,0,1,4,,,,,,,,0.0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4366640,,,,,,,,,,,,,,,5.0,5,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,0,48,5.3
4368038,0,0,0,2,0,0,6,0,0,1,12.0,2,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4374313,1,1,0,4,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4379471,0,0,0,0,0,0,1,,,,,,,,20.5,22,2,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,0,191,8.7,6,21,1,71,11.8
4379523,1,0,0.5,2,0,0.5,3,1,0,0,0.0,3,0,0,,,,,,,,,,,,,,,,,,,,12.0,28,22,0,263,,,,,,,,,,,,,,,,
4426333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,4,1.0
4426415,1,1,0.5,27,0,4.5,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426417,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,0.400,0,27,5.4,,,,,,,,,,,,,,,,,,,,,
4426460,,,,,,,,,,,,,,,15.0,15,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,1,77,7.0,,,,,
4426674,0,4,2.0,13,0,5.5,36,,,,-1.0,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426688,0,0,0,5,0,0,15,3,2,0,,,,,,,,,,0,0,0,0,0,1,0,206,121,7,0.587,7,1386,6.7,,,,,,,,,,,,,,,,,115,48,9,557,4.8
4426695,0,7,5.5,20,0,9.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,62,59,9,2627,44.5,,,,,,,,,,
4426840,,,,,,,,,,,,,,,9.0,18,2,0,18,,,,,,,,1,0,0,0.000,0,0,0.0,,,,,,,,,,,,17,7,0,66,9.4,43,29,1,242,5.6
4426847,,,,,,,,,,,,,,,,,,,,,,,,,,,58,28,2,0.483,0,238,4.1,,,,,,,,,,,,,,,,,14,22,1,23,1.6
4426895,1,2,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426910,,,,,,,,,,,,,,,31.0,31,1,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,23,2.9
4426931,1,0,0,10,0,1,27,,,,0.5,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426967,0,2,2,3,0,2,6,,,,0.0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,1,82,13.7,,,,,
4427017,0,1,1,23,0,4,43,0,0,1,,,,,9.0,9,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427081,0,0,0,1,0,0,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427117,0,9,2.5,14,0,5.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427135,1,1,0,51,0,3.0,77,0,0,1,20.0,2,0,40,,,,,,,,,,,,,,,,,,,,10.0,10,1,0,10,,,,,,,,,,,,,,,,
4427161,0,0,0,2,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427163,0,0,0,2,0,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427191,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,181,106,6,0.586,9,1451,8.0,,,,,,,,,,,,,,,,,89,39,4,395,4.4
4427313,0,1,0,1,0,0,1,7,4,0,,,,,,,,,,,,,,,,,356,206,12,0.579,17,2520,7.1,,,,,,,,,,,,,,,,,83,40,3,125,1.5
4427360,0,2,0.5,4,0,1.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427368,2,4,0.5,34,1,2.0,67,0,0,1,23.0,3,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427455,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,184,123,6,0.668,7,1292,7.0,,,,,,,,,,,,,,,,,35,25,2,40,1.1
4427607,0,0,0,7,0,0,13,,,,17.0,1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427611,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,0,41,8.2,94,63,6,467,5.0
4427622,,,,,,,,,,,,,,,18.4,30,17,0,312,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,0,34,3.4,42,27,0,206,4.9
4427630,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,0,72,9.0,41,23,1,140,3.4
4427647,,,,,,,,,,,,,,,14.3,15,3,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,54,14,2,187,13.4,,,,,
4427684,1,0,0,8,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427804,0,1,1,8,0,2,15,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0,18,2.3
4427966,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,273,183,6,0.670,12,2062,7.6,,,,,,,,,,,,,,,,,39,23,2,76,1.9
4427971,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,33,3,375,11.4,177,54,4,1014,5.7
4427983,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,16,8.0,65,20,4,198,3.0
4428112,0,0,0,4,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428141,0,0,0,4,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2,0,56,28.0,,,,,
4428214,0,1,0,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,0,35,7.0,,,,,
4428267,4,1,0,34,0,3.5,42,0,0,1,0.0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,23,4.6,26,27,0,101,3.9
4428352,0,0,0,1,0,0,1,,,,9.0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,0,212,19.3,,,,,
4428475,,,,,,,,,,,,,,,25.5,28,2,0,51,,,,,,,,,,,,,,,2.0,2,1,0,2,,,,,,,35,5,0,92,18.4,,,,,
4428559,0,3,2.5,9,0,5.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428652,0,3,0,5,0,1.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428758,2,5,1,11,0,6.0,22,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428786,0,0,0,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428900,0,0,0,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428925,1,7,4,11,0,4.5,28,,,,11.0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428941,4,2,3.0,39,0,9.0,86,,,,14.0,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428966,0,0,0,3,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428986,1,0,0,9,0,0.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428993,,,,,,,,4,2,0,,,,,,,,,,,,,,,,,361,252,6,0.698,14,2951,8.2,,,,,,,,,,,,,,,,,185,45,15,953,5.2
4428994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,1,0,52,52.0,,,,,
4429007,2,2,1,12,0,2.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429021,0,0,0,2,0,0,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429028,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429066,,,,,,,,5,4,0,,,,,,,,,,,,,,,,,188,105,6,0.559,10,1261,6.7,,,,,,,,,,,,,,,,,100,88,5,522,5.2
4429069,,,,,,,,1,1,0,,,,,,,,,,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,70,35,6,520,14.9,,,,,
4429077,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,0,164,8.6,100,22,6,440,4.4
4429079,0,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,30,19,1,0.633,0,153,5.1,,,,,,,,,,,,,,,,,9,10,0,20,2.2
4429088,,,,,,,,,,,,,,,,,,,,,,,,,,,151,94,5,0.623,4,882,5.8,,,,,,,,,,,,,,,,,30,23,0,-14,-0.5
4429093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,10,10.0,,,,,
4429094,0,2,0,5,0,1.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429101,0,2,1,10,0,1.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,4,117,14.6,,,,,
4429104,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429107,,,,,,,,1,0,0,,,,,24.0,44,12,0,288,,,,,,,,,,,,,,,,,,,,,,,,,,28,8,1,72,9.0,,,,,
4429114,0,1,0,6,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429123,0,0,0,6,0,2,11,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429124,0,1,1.5,7,0,4.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429125,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,7.0,18,14,0,98,,,,,,,49,26,4,306,11.8,,,,,
4429127,0,0,0,4,0,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,0,60,6.7
